Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons_Spring,Seasons_Summer,Seasons_Winter,Holiday_No Holiday,Functioning Day_Yes,Rented Bike Count
19,5.0,52,2.3,1666,-4.0,0.0,0.0,0.0,False,False,True,True,True,355.86833182269834
20,4.6,51,1.2,1585,-4.6,0.0,0.0,0.0,False,False,True,True,True,215.95355903243967
21,4.1,55,1.2,1448,-4.1,0.0,0.0,0.0,False,False,True,True,True,307.35534626280094
22,3.5,54,1.5,1446,-4.9,0.0,0.0,0.0,False,False,True,True,True,309.4333738782649
23,4.0,56,1.0,1352,-4.0,0.0,0.0,0.0,False,False,True,True,True,468.27617385030646
0,4.0,58,1.4,1296,-3.5,0.0,0.0,0.0,False,False,True,True,True,375.2449389960807
1,3.9,69,1.7,485,-1.2,0.0,0.0,0.0,False,False,True,True,True,56.42653464027251
2,3.3,79,1.4,830,0.0,0.0,0.0,0.0,False,False,True,True,True,259.35500093917744
3,3.4,71,1.6,1011,-1.3,0.0,0.5,0.0,False,False,True,True,True,79.743435639035
4,3.5,73,1.0,1060,-0.8,0.0,0.0,0.0,False,False,True,True,True,10.508053591853809
5,3.9,75,1.9,914,-0.1,0.0,0.0,0.0,False,False,True,True,True,91.17944860677213
6,3.4,86,2.5,278,1.2,0.0,1.0,0.0,False,False,True,True,True,112.74881218753433
7,3.1,91,1.2,129,1.7,0.0,0.0,0.0,False,False,True,True,True,112.10099778787348
8,3.2,92,1.8,244,2.0,0.0,0.0,0.0,False,False,True,True,True,3.806023395853259
9,3.5,91,1.8,231,2.1,0.02,2.5,0.0,False,False,True,True,True,122.083820087351
10,4.4,89,2.2,257,2.7,0.24,0.0,0.0,False,False,True,True,True,232.0496111614853
11,5.1,87,1.4,321,3.1,0.25,0.0,0.0,False,False,True,True,True,367.3836204988879
12,5.8,85,1.7,349,3.4,0.43,0.0,0.0,False,False,True,True,True,286.6400744975879
13,6.8,81,1.9,390,3.7,0.6,0.0,0.0,False,False,True,True,True,477.0375645283176
14,7.6,76,1.2,422,3.6,0.69,0.0,0.0,False,False,True,True,True,455.9625114942171
15,8.0,73,1.6,433,3.4,0.53,0.0,0.0,False,False,True,True,True,505.26746348626375
16,7.6,77,1.6,399,3.8,0.2,0.0,0.0,False,False,True,True,True,676.6115646875472
17,6.7,82,1.5,358,3.8,0.05,0.0,0.0,False,False,True,True,True,676.2157076112113
18,6.0,84,1.9,327,3.4,0.0,0.0,0.0,False,False,True,True,True,436.0330480893637
19,5.7,85,1.7,309,3.3,0.0,0.0,0.0,False,False,True,True,True,519.0914266900029
20,5.2,87,1.4,253,3.2,0.0,0.0,0.0,False,False,True,True,True,431.98814805984995
21,4.7,87,1.2,247,2.7,0.0,0.0,0.0,False,False,True,True,True,322.5849087836726
22,4.3,89,1.8,201,2.6,0.0,0.0,0.0,False,False,True,True,True,384.96488756075115
23,3.9,90,1.3,194,2.4,0.0,0.0,0.0,False,False,True,True,True,451.80445359913017
0,4.2,88,0.6,216,2.3,0.0,0.0,0.0,False,False,True,True,True,281.53384432424326
1,4.3,87,0.5,221,2.3,0.0,0.0,0.0,False,False,True,True,True,337.3786793871394
2,4.4,87,1.8,207,2.4,0.0,0.0,0.0,False,False,True,True,True,0.0
3,3.6,85,2.3,206,1.3,0.0,0.0,0.0,False,False,True,True,True,144.51875510758083
4,2.8,89,1.5,130,1.1,0.0,0.0,0.0,False,False,True,True,True,49.421770788161474
5,2.0,83,2.7,253,-0.5,0.0,0.0,0.0,False,False,True,True,True,53.0711524171155
6,1.2,76,3.7,371,-2.5,0.0,0.1,0.0,False,False,True,True,True,208.87782027547746
7,0.2,68,3.4,702,-5.0,0.0,0.0,0.0,False,False,True,True,True,305.7034624687864
8,-0.8,69,3.5,954,-5.7,0.01,0.0,0.0,False,False,True,True,True,915.7468282916968
9,-1.5,47,4.2,1888,-11.3,0.22,0.0,0.0,False,False,True,True,True,543.5505056484374
10,-1.1,40,4.5,2000,-13.0,0.64,0.0,0.0,False,False,True,True,True,453.98568746677176
11,-0.5,41,4.1,1799,-12.1,0.94,0.0,0.0,False,False,True,True,True,328.857553241327
12,-0.3,38,4.8,1823,-12.9,1.11,0.0,0.0,False,False,True,True,True,314.77855101758087
13,0.0,30,5.4,1938,-15.5,1.17,0.0,0.0,False,False,True,True,True,342.4551966201488
14,0.1,27,4.5,2000,-16.7,1.09,0.0,0.0,False,False,True,True,True,426.564807182143
15,-0.1,25,5.8,2000,-17.8,0.88,0.0,0.0,False,False,True,True,True,372.806544987043
16,-0.2,23,4.7,2000,-18.8,0.55,0.0,0.0,False,False,True,True,True,323.7459015091874
17,-1.3,26,5.3,2000,-18.3,0.18,0.0,0.0,False,False,True,True,True,564.6584291946683
18,-2.1,29,3.9,2000,-17.7,0.0,0.0,0.0,False,False,True,True,True,816.3922160255722
19,-2.9,32,3.2,2000,-17.3,0.0,0.0,0.0,False,False,True,True,True,661.7160349047986
20,-3.6,38,3.0,2000,-15.8,0.0,0.0,0.0,False,False,True,True,True,330.07662983459386
21,-4.6,43,4.5,2000,-15.3,0.0,0.0,0.0,False,False,True,True,True,365.2988117755666
22,-5.3,45,2.5,2000,-15.3,0.0,0.0,0.0,False,False,True,True,True,315.06368512247866
23,-5.8,44,2.4,2000,-16.1,0.0,0.0,0.0,False,False,True,True,True,106.4054846684441
0,-6.1,42,2.6,2000,-16.9,0.0,0.0,0.0,False,False,True,True,True,244.64952432793297
1,-6.5,41,2.8,2000,-17.6,0.0,0.0,0.0,False,False,True,True,True,223.25699842440005
2,-6.8,41,2.5,2000,-17.8,0.0,0.0,0.0,False,False,True,True,True,124.49472498786723
3,-6.9,39,2.0,2000,-18.5,0.0,0.0,0.0,False,False,True,True,True,39.30378395132429
4,-7.2,34,3.0,2000,-20.4,0.0,0.0,0.0,False,False,True,True,True,0.0
5,-7.4,33,2.6,2000,-20.9,0.0,0.0,0.0,False,False,True,True,True,41.30272479999976
6,-7.4,34,3.2,2000,-20.6,0.0,0.0,0.0,False,False,True,True,True,138.8425007024146
7,-7.5,33,2.2,2000,-21.0,0.0,0.0,0.0,False,False,True,True,True,303.3799789390984
8,-8.1,36,1.6,2000,-20.5,0.01,0.0,0.0,False,False,True,True,True,796.3956686589361
9,-7.6,31,1.3,1974,-21.8,0.21,0.0,0.0,False,False,True,True,True,501.09176692248565
10,-5.5,26,2.8,1967,-22.0,0.64,0.0,0.0,False,False,True,True,True,451.4877694949304
11,-3.9,25,0.0,1959,-21.0,0.0,0.0,0.0,False,False,True,True,True,350.890337079998
12,-2.3,25,0.0,1962,-19.7,0.0,0.0,0.0,False,False,True,True,True,345.9179024747143
13,-1.6,27,0.0,1955,-18.2,0.0,0.0,0.0,False,False,True,True,True,317.7973859270943
14,-1.1,28,0.0,2000,-17.3,0.0,0.0,0.0,False,False,True,True,True,148.35961374418315
15,-0.7,28,0.0,2000,-16.9,0.0,0.0,0.0,False,False,True,True,True,350.43479262129534
16,-0.5,30,0.0,2000,-16.0,0.0,0.0,0.0,False,False,True,True,True,440.8272499340045
17,-1.6,35,0.0,2000,-15.1,0.0,0.0,0.0,False,False,True,True,True,767.3177387472408
18,-2.6,40,0.0,2000,-14.4,0.0,0.0,0.0,False,False,True,True,True,770.3891497236456
19,-3.2,45,0.0,2000,-13.5,0.0,0.0,0.0,False,False,True,True,True,626.1745908313005
20,-3.5,46,0.0,2000,-13.4,0.0,0.0,0.0,False,False,True,True,True,414.6416494659057
21,-3.7,47,0.0,2000,-13.3,0.0,0.0,0.0,False,False,True,True,True,301.9308437699449
22,-2.8,49,0.0,2000,-12.0,0.0,0.0,0.0,False,False,True,True,True,503.56767321551877
23,-2.5,59,0.0,1210,-9.4,0.0,0.0,0.0,False,False,True,True,True,316.74923529886576
0,-2.8,77,0.0,331,-6.2,0.0,0.1,0.1,False,False,True,True,True,221.532040411538
1,-3.0,79,0.0,293,-6.1,0.0,0.0,0.3,False,False,True,True,True,56.01710916953745
2,-3.0,79,0.0,1862,-6.1,0.0,0.0,0.4,False,False,True,True,True,252.7198167469143
3,-3.2,78,0.0,1808,-6.4,0.0,0.2,0.4,False,False,True,True,True,0.0
4,-3.4,75,0.0,1982,-7.2,0.0,0.0,0.4,False,False,True,True,True,114.77820091389546
5,-3.6,76,0.0,1934,-7.2,0.0,0.0,0.4,False,False,True,True,True,298.9257497763832
6,-3.7,76,0.0,1864,-7.3,0.0,0.0,0.4,False,False,True,True,True,46.16598678804965
7,-4.2,77,0.0,1741,-7.6,0.0,0.0,0.3,False,False,True,True,True,324.21090976296176
8,-4.2,78,0.0,1518,-7.4,0.01,0.0,0.2,False,False,True,True,True,811.6412317207427
9,-3.3,70,0.0,1324,-7.9,0.25,0.0,0.2,False,False,True,True,True,391.28892170400593
10,-0.9,64,0.0,1224,-6.8,0.63,0.0,0.2,False,False,True,True,True,156.9739020469811
11,1.6,57,1.2,1261,-6.0,0.93,0.0,0.0,False,False,True,True,True,387.63344176958327
12,2.4,52,0.9,1224,-6.4,1.08,0.0,0.0,False,False,True,True,True,302.22251920150467
13,4.2,47,1.1,1469,-6.1,1.1,0.0,0.0,False,False,True,True,True,487.81988777502283
14,5.5,34,1.0,1966,-9.1,0.96,0.0,0.0,False,False,True,True,True,327.0460545711694
15,5.5,31,3.1,1968,-10.3,0.72,0.0,0.0,False,False,True,True,True,561.95556495973
16,5.3,37,2.9,2000,-8.2,0.36,0.0,0.0,False,False,True,True,True,420.2205414767085
17,4.1,60,2.5,1565,-2.9,0.1,0.0,0.0,False,False,True,True,True,207.84067063866303
18,1.7,90,1.0,66,0.2,0.0,0.3,0.3,False,False,True,True,True,282.7074817748535
19,1.2,92,0.7,180,0.0,0.0,0.0,1.0,False,False,True,True,True,85.91434491543075
20,1.2,94,0.6,228,0.3,0.0,0.0,1.0,False,False,True,True,True,212.00666227476864
21,1.1,92,0.5,235,0.0,0.0,0.7,1.0,False,False,True,True,True,291.46556497287446
22,1.3,92,0.6,233,0.1,0.0,0.0,1.0,False,False,True,True,True,66.47660764121468
23,1.3,92,0.6,209,0.1,0.0,0.0,1.0,False,False,True,True,True,210.86325568183852
0,1.4,92,0.5,240,0.2,0.0,0.0,0.9,False,False,True,True,True,223.14356162988372
1,1.5,92,0.4,227,0.3,0.0,0.0,0.9,False,False,True,True,True,293.641065877545
2,1.4,92,0.7,168,0.2,0.0,0.0,0.9,False,False,True,True,True,29.325488564812176
3,1.9,91,1.4,218,0.5,0.0,0.0,0.9,False,False,True,True,True,0.0
4,1.6,92,0.7,119,0.4,0.0,0.0,0.9,False,False,True,True,True,112.4976482196111
5,1.5,92,1.1,175,0.3,0.0,0.0,0.9,False,False,True,True,True,111.73315432891451
6,1.0,93,0.5,148,0.0,0.0,0.0,0.9,False,False,True,True,True,161.2350881239803
7,0.3,93,0.5,173,-0.7,0.0,0.0,0.9,False,False,True,True,True,400.5187326742502
8,-0.2,96,0.8,173,-0.7,0.01,0.0,0.8,False,False,True,True,True,688.2078664872713
9,0.1,91,0.8,265,-1.1,0.14,0.0,0.8,False,False,True,True,True,437.47045698128767
10,1.1,83,0.7,311,-1.4,0.41,0.0,0.7,False,False,True,True,True,349.35465047125774
11,2.3,69,1.7,628,-2.8,0.63,0.0,0.6,False,False,True,True,True,263.88677164456124
12,3.7,65,2.4,833,-2.2,0.98,0.0,0.3,False,False,True,True,True,611.5129752591112
13,4.1,37,3.1,1767,-9.3,1.14,0.0,0.0,False,False,True,True,True,439.8431551179368
14,4.4,36,2.7,1975,-9.4,1.04,0.0,0.0,False,False,True,True,True,274.74183914931297
15,4.0,35,3.1,1962,-10.1,0.84,0.0,0.0,False,False,True,True,True,493.5213122505796
16,3.2,38,2.9,1817,-9.7,0.51,0.0,0.0,False,False,True,True,True,376.69991862773225
17,2.1,50,2.0,1434,-7.2,0.15,0.0,0.0,False,False,True,True,True,628.1501364465609
18,0.7,46,2.7,1558,-9.6,0.0,0.0,0.0,False,False,True,True,True,907.0936821890439
19,-0.4,47,2.5,1269,-10.3,0.0,0.0,0.0,False,False,True,True,True,427.59929742671966
20,-1.4,47,2.5,1620,-11.2,0.0,0.0,0.0,False,False,True,True,True,483.20627457644923
21,-2.2,46,2.2,1975,-12.2,0.0,0.0,0.0,False,False,True,True,True,441.93639789076315
22,-2.7,48,2.6,1844,-12.2,0.0,0.0,0.0,False,False,True,True,True,468.53400822886107
23,-3.2,50,2.1,1887,-12.1,0.0,0.0,0.0,False,False,True,True,True,442.5140005955965
0,-3.5,49,2.6,1893,-12.6,0.0,0.0,0.0,False,False,True,True,True,209.25879298472773
1,-3.7,50,2.5,1902,-12.6,0.0,0.0,0.0,False,False,True,True,True,157.0763123968925
2,-4.3,53,1.0,1918,-12.4,0.0,0.0,0.0,False,False,True,True,True,44.939816806106705
3,-4.8,52,1.6,1978,-13.1,0.0,0.0,0.0,False,False,True,True,True,20.070664806252665
4,-5.3,53,2.4,1936,-13.4,0.0,0.0,0.0,False,False,True,True,True,63.54043890043069
5,-5.8,56,2.0,1941,-13.1,0.0,0.0,0.0,False,False,True,True,True,117.00632398064519
6,-6.0,56,3.5,1853,-13.3,0.0,0.0,0.0,False,False,True,True,True,184.76972973719026
7,-6.5,57,0.8,1776,-13.6,0.0,0.0,0.0,False,False,True,True,True,467.02966514767985
8,-7.0,59,0.8,1559,-13.6,0.01,0.0,0.0,False,False,True,True,True,781.2579281005603
9,-6.7,50,0.9,1492,-15.4,0.23,0.0,0.0,False,False,True,True,True,535.6288698558691
10,-5.3,44,2.8,1516,-15.6,0.63,0.0,0.0,False,False,True,True,True,235.39455191124577
11,-3.7,39,1.4,1595,-15.6,0.93,0.0,0.0,False,False,True,True,True,573.1753336408894
12,-2.0,30,1.4,1728,-17.3,1.14,0.0,0.0,False,False,True,True,True,415.53307824333103
13,-1.7,28,1.8,1963,-17.8,1.22,0.0,0.0,False,False,True,True,True,271.0703319986946
14,-1.3,27,3.1,1906,-17.9,1.12,0.0,0.0,False,False,True,True,True,246.39155757944894
15,-0.8,26,3.3,1977,-17.9,0.87,0.0,0.0,False,False,True,True,True,408.6790229128817
16,-1.1,24,3.4,2000,-19.1,0.56,0.0,0.0,False,False,True,True,True,379.38006039963113
17,-2.4,30,2.7,2000,-17.6,0.18,0.0,0.0,False,False,True,True,True,569.0792765980922
18,-3.1,33,1.2,2000,-17.1,0.0,0.0,0.0,False,False,True,True,True,797.7855604233287
19,-3.3,35,1.1,2000,-16.6,0.0,0.0,0.0,False,False,True,True,True,469.9538303637175
20,-3.3,34,1.5,2000,-16.9,0.0,0.0,0.0,False,False,True,True,True,302.07302942226056
21,-3.3,35,0.5,2000,-16.6,0.0,0.0,0.0,False,False,True,True,True,189.4391064098758
22,-3.4,39,1.2,2000,-15.4,0.0,0.0,0.0,False,False,True,True,True,303.7998479913611
23,-3.5,43,0.9,2000,-14.3,0.0,0.0,0.0,False,False,True,True,True,357.85625805703353
0,-3.5,48,0.9,1967,-12.9,0.0,0.0,0.0,False,False,True,True,True,287.71348842341837
1,-4.1,49,0.6,2000,-13.2,0.0,0.0,0.0,False,False,True,True,True,175.47524633993368
2,-4.7,50,0.7,1983,-13.5,0.0,0.0,0.0,False,False,True,True,True,253.75518879521178
3,-4.3,47,0.6,1992,-13.9,0.0,0.0,0.0,False,False,True,True,True,206.27931013015143
4,-4.3,49,0.7,2000,-13.4,0.0,0.0,0.0,False,False,True,True,True,10.487128771169083
5,-4.7,49,0.8,1999,-13.8,0.0,0.0,0.0,False,False,True,True,True,70.87284560942122
6,-5.1,53,0.9,1975,-13.2,0.0,0.0,0.0,False,False,True,True,True,81.63167139970224
7,-5.5,56,0.8,1950,-12.9,0.0,0.0,0.0,False,False,True,True,True,16.418057829716645
8,-5.4,56,0.7,1940,-12.8,0.01,0.0,0.0,False,False,True,True,True,256.61579121206114
9,-4.7,48,1.0,1784,-14.0,0.23,0.0,0.0,False,False,True,True,True,345.255689918227
10,-2.2,42,1.3,1646,-13.4,0.61,0.0,0.0,False,False,True,True,True,377.78479639197946
11,0.0,45,1.1,1500,-10.5,0.89,0.0,0.0,False,False,True,True,True,452.9549482591352
12,2.4,40,0.8,1809,-9.8,1.05,0.0,0.0,False,False,True,True,True,293.7110119428686
13,3.9,36,2.0,1702,-9.8,1.13,0.0,0.0,False,False,True,True,True,340.26578361084756
14,4.7,32,2.2,1948,-10.6,1.06,0.0,0.0,False,False,True,True,True,535.8294664718964
15,5.2,30,2.0,1963,-11.0,0.84,0.0,0.0,False,False,True,True,True,618.7085955947539
16,4.4,33,1.6,1963,-10.5,0.4,0.0,0.0,False,False,True,True,True,595.8306680148514
17,3.5,37,1.8,1963,-9.8,0.1,0.0,0.0,False,False,True,True,True,853.7503083027143
18,2.5,41,1.0,1974,-9.4,0.0,0.0,0.0,False,False,True,True,True,439.233440063016
19,1.5,48,0.4,1878,-8.3,0.0,0.0,0.0,False,False,True,True,True,384.86554435522214
20,0.8,51,1.4,1848,-8.2,0.0,0.0,0.0,False,False,True,True,True,390.29930825077923
21,-0.1,55,0.7,1654,-8.0,0.0,0.0,0.0,False,False,True,True,True,384.02185613995783
22,-0.5,55,0.6,1655,-8.4,0.0,0.0,0.0,False,False,True,True,True,258.4978203326383
23,-0.1,54,1.3,1570,-8.3,0.0,0.0,0.0,False,False,True,True,True,338.4299837965246
0,-0.2,55,1.0,1629,-8.1,0.0,0.0,0.0,False,False,True,True,True,251.22945404273753
1,-0.2,54,0.5,1747,-8.4,0.0,0.0,0.0,False,False,True,True,True,257.08788975087475
2,0.2,52,0.7,1726,-8.5,0.0,0.0,0.0,False,False,True,True,True,196.041261107596
3,0.3,53,0.5,1748,-8.1,0.0,0.0,0.0,False,False,True,True,True,176.92129188662585
4,0.4,52,1.6,1816,-8.3,0.0,0.0,0.0,False,False,True,True,True,294.9423371277943
5,0.3,74,1.0,178,-3.7,0.0,0.0,0.7,False,False,True,True,True,0.0
6,-0.5,90,0.9,91,-1.9,0.0,2.5,2.7,False,False,True,True,True,75.39541275026899
7,-0.4,92,1.1,121,-1.5,0.0,0.0,4.0,False,False,True,True,True,0.0
8,-0.2,90,1.2,378,-1.6,0.0,0.0,4.1,False,False,True,True,True,0.0
9,0.2,90,1.0,305,-1.2,0.0,1.6,4.3,False,False,True,True,True,136.35555663055874
10,0.5,91,0.4,143,-0.8,0.0,0.0,4.3,False,False,True,True,True,25.219067431420285
11,0.9,92,0.9,137,-0.2,0.03,0.0,3.9,False,False,True,True,True,0.0
12,2.3,88,0.3,245,0.5,0.28,0.0,3.1,False,False,True,True,True,49.794637829427856
13,3.3,87,1.1,230,1.3,0.54,0.0,2.1,False,False,True,True,True,247.75082407162057
14,4.2,85,0.7,325,1.8,0.65,0.0,1.4,False,False,True,True,True,164.337305803184
15,6.7,63,4.5,715,0.1,0.35,0.0,1.0,False,False,True,True,True,200.94228632261638
16,5.4,71,3.5,622,0.5,0.2,0.0,0.5,False,False,True,True,True,218.40905820072652
17,3.6,65,4.3,1061,-2.3,0.03,0.0,0.4,False,False,True,True,True,162.9579138724383
18,2.0,61,3.0,2000,-4.7,0.0,0.0,0.0,False,False,True,True,True,417.4257762883941
19,1.6,53,4.0,2000,-6.9,0.0,0.0,0.0,False,False,True,True,True,242.33142462202548
20,0.6,57,3.9,1954,-6.9,0.0,0.0,0.0,False,False,True,True,True,0.0
21,0.0,59,3.0,1862,-7.0,0.0,0.0,0.0,False,False,True,True,True,185.03938413129973
22,-1.0,56,4.7,2000,-8.6,0.0,0.0,0.0,False,False,True,True,True,87.97241090604531
23,-1.4,43,4.3,2000,-12.3,0.0,0.0,0.0,False,False,True,True,True,230.47260135400893
0,-2.5,39,3.4,2000,-14.5,0.0,0.0,0.0,False,False,True,True,True,48.32391958701422
1,-3.4,36,3.8,2000,-16.3,0.0,0.0,0.0,False,False,True,True,True,99.89929286946621
2,-4.2,35,3.4,2000,-17.4,0.0,0.0,0.0,False,False,True,True,True,115.85732742743676
3,-4.7,38,2.4,2000,-16.8,0.0,0.0,0.0,False,False,True,True,True,128.7614861882702
4,-5.2,35,3.2,2000,-18.3,0.0,0.0,0.0,False,False,True,True,True,0.0
5,-5.6,38,3.2,1974,-17.6,0.0,0.0,0.0,False,False,True,True,True,53.63713248904252
6,-5.9,39,2.9,1979,-17.6,0.0,0.0,0.0,False,False,True,True,True,90.04922154798541
7,-6.0,39,3.1,1996,-17.7,0.0,0.0,0.0,False,False,True,True,True,261.7906449084926
8,-6.0,38,3.6,1994,-18.0,0.01,0.0,0.0,False,False,True,True,True,823.8070271586153
9,-5.9,36,5.1,1941,-18.6,0.1,0.0,0.0,False,False,True,True,True,365.1818267075767
10,-5.3,32,4.5,2000,-19.4,0.62,0.0,0.0,False,False,True,True,True,90.00995635113306
11,-4.7,36,3.8,2000,-17.5,1.0,0.0,0.0,False,False,True,True,True,314.80279473767746
12,-5.2,33,4.6,1973,-19.0,1.26,0.0,0.0,False,False,True,True,True,452.3178059830349
13,-5.4,32,5.1,1986,-19.5,1.24,0.0,0.0,False,False,True,True,True,340.89062178762987
14,-5.4,31,4.1,1945,-19.9,1.13,0.0,0.0,False,False,True,True,True,106.00153291009647
15,-5.5,33,4.5,2000,-19.2,0.92,0.0,0.0,False,False,True,True,True,222.15053738123316
16,-6.0,40,4.0,2000,-17.4,0.55,0.0,0.0,False,False,True,True,True,399.5731724613927
17,-7.1,44,4.2,2000,-17.3,0.18,0.0,0.0,False,False,True,True,True,292.53324800192837
18,-7.9,43,3.3,2000,-18.3,0.0,0.0,0.0,False,False,True,True,True,599.9393610931676
19,-8.6,45,3.9,2000,-18.4,0.0,0.0,0.0,False,False,True,True,True,445.945550432973
20,-9.3,49,3.8,2000,-18.0,0.0,0.0,0.0,False,False,True,True,True,164.3198289592729
21,-9.7,51,2.5,2000,-17.9,0.0,0.0,0.0,False,False,True,True,True,260.24094441107957
22,-10.2,50,3.0,2000,-18.6,0.0,0.0,0.0,False,False,True,True,True,0.0
23,-10.7,53,1.2,2000,-18.4,0.0,0.0,0.0,False,False,True,True,True,74.89088480340529
0,-11.0,51,1.1,2000,-19.1,0.0,0.0,0.0,False,False,True,True,True,108.56412728797551
1,-11.2,51,1.1,2000,-19.3,0.0,0.0,0.0,False,False,True,True,True,6.277451101763674
2,-11.5,50,0.7,2000,-19.8,0.0,0.0,0.0,False,False,True,True,True,252.93517360171637
3,-11.6,50,2.2,1995,-19.9,0.0,0.0,0.0,False,False,True,True,True,0.0
4,-11.6,47,2.1,1982,-20.6,0.0,0.0,0.0,False,False,True,True,True,3.4258630581763754
5,-11.6,45,2.8,1951,-21.1,0.0,0.0,0.0,False,False,True,True,True,77.64910119204382
6,-11.8,47,2.5,1973,-20.8,0.0,0.0,0.0,False,False,True,True,True,243.44264326517225
7,-12.1,50,2.3,1929,-20.4,0.0,0.0,0.0,False,False,True,True,True,141.0808822700018
8,-12.3,52,1.3,1914,-20.1,0.0,0.0,0.0,False,False,True,True,True,692.5356512058991
9,-11.8,46,2.9,1956,-21.1,0.1,0.0,0.0,False,False,True,True,True,275.9900447667282
