employment_id,workclass,education,marital-status,occupation,relationship,education-num,hours-per-week
81, Private, HS-grad, Never-married, Sales, Not-in-family,9,30
82, Private, Bachelors, Married-civ-spouse, Other-service, Husband,13,40
83, Private, HS-grad, Married-civ-spouse, Other-service, Wife,9,40
84, Private, HS-grad, Married-civ-spouse, Sales, Husband,9,48
85, Private, HS-grad, Divorced, Craft-repair, Not-in-family,9,40
86, Private, HS-grad, Divorced, Sales, Own-child,9,35
87, Local-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband,9,40
88, Private, Masters, Married-civ-spouse, Prof-specialty, Husband,14,50
89, Private, 9th, Never-married, Sales, Not-in-family,5,40
90, Federal-gov, Doctorate, Never-married, Prof-specialty, Not-in-family,16,50
91, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband,11,40
92, Private, Some-college, Divorced, Craft-repair, Unmarried,10,40
93, Private, Some-college, Divorced, Machine-op-inspct, Unmarried,10,25
94, Private, HS-grad, Married-civ-spouse, Sales, Wife,9,35
95, Local-gov, Bachelors, Married-civ-spouse, Protective-serv, Husband,13,40
96, Local-gov, Some-college, Never-married, Handlers-cleaners, Not-in-family,10,50
97, Self-emp-not-inc, Doctorate, Married-civ-spouse, Prof-specialty, Husband,16,60
98, Private, Some-college, Married-civ-spouse, Sales, Husband,10,48
99, Private, Assoc-acdm, Divorced, Exec-managerial, Unmarried,12,40
100, Federal-gov, HS-grad, Never-married, Other-service, Own-child,9,40
101, Private, Masters, Married-civ-spouse, Exec-managerial, Husband,14,40
102, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband,13,60
103, Self-emp-not-inc, Masters, Never-married, Prof-specialty, Not-in-family,14,50
104, Private, Some-college, Never-married, Tech-support, Own-child,10,40
105, Private, HS-grad, Never-married, Craft-repair, Not-in-family,9,40
106, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband,9,40
107, ?, 10th, Never-married, ?, Own-child,6,32
108, Private, 11th, Never-married, Handlers-cleaners, Own-child,7,40
109, Local-gov, HS-grad, Never-married, Adm-clerical, Not-in-family,9,40
110, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband,9,40
111, Private, Bachelors, Never-married, Sales, Other-relative,13,40
112, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband,15,40
113, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Husband,9,50
114, Private, Some-college, Married-civ-spouse, Sales, Wife,10,25
115, Private, HS-grad, Never-married, Machine-op-inspct, Own-child,9,40
116, Private, 9th, Married-civ-spouse, Handlers-cleaners, Husband,5,50
117, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband,10,50
118, Local-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband,11,40
119, Private, Some-college, Married-civ-spouse, Sales, Husband,10,56
120, Private, HS-grad, Never-married, Craft-repair, Not-in-family,9,41
121, Private, Some-college, Never-married, Other-service, Own-child,10,40
122, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband,13,60
123, Private, Bachelors, Never-married, Exec-managerial, Own-child,13,40
124, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband,13,50
125, Private, Some-college, Never-married, Other-service, Own-child,10,35
126, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife,13,40
127, Private, Some-college, Never-married, Adm-clerical, Own-child,10,28
128, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband,12,40
129, ?, HS-grad, Married-civ-spouse, ?, Husband,9,40
130, Private, Some-college, Divorced, Craft-repair, Not-in-family,10,40
131, Private, Assoc-acdm, Never-married, Sales, Not-in-family,12,60
132, Private, HS-grad, Never-married, Other-service, Not-in-family,9,40
133, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband,9,35
134, Private, Bachelors, Married-civ-spouse, Sales, Husband,13,50
135, Private, Assoc-acdm, Divorced, Tech-support, Not-in-family,12,36
136, Federal-gov, Masters, Married-civ-spouse, Prof-specialty, Husband,14,40
137, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband,9,60
138, Private, Assoc-voc, Married-civ-spouse, Adm-clerical, Wife,11,35
139, Private, Some-college, Never-married, Sales, Own-child,10,20
140, Private, Some-college, Married-civ-spouse, Craft-repair, Husband,10,40
141, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband,9,40
142, Private, Some-college, Never-married, Sales, Own-child,10,40
143, Private, Some-college, Never-married, Other-service, Own-child,10,30
144, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family,11,40
145, Private, Some-college, Never-married, Tech-support, Other-relative,10,40
146, Private, HS-grad, Never-married, Transport-moving, Unmarried,9,30
147, Private, Some-college, Married-civ-spouse, Other-service, Husband,10,24
148, Private, HS-grad, Widowed, Other-service, Unmarried,9,24
149, Private, 11th, Married-civ-spouse, Craft-repair, Husband,7,40
150, ?, Some-college, Divorced, ?, Not-in-family,10,40
151, Local-gov, Some-college, Divorced, Adm-clerical, Unmarried,10,38
152, Private, HS-grad, Never-married, Adm-clerical, Not-in-family,9,40
153, Private, Bachelors, Never-married, Exec-managerial, Other-relative,13,40
154, Private, HS-grad, Never-married, Craft-repair, Own-child,9,35
155, ?, HS-grad, Divorced, ?, Not-in-family,9,45
156, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband,9,46
157, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family,13,40
158, Self-emp-not-inc, Some-college, Separated, Sales, Unmarried,10,2
159, Private, HS-grad, Divorced, Craft-repair, Not-in-family,9,60
160, Private, Bachelors, Separated, Other-service, Other-relative,13,50
161, ?, 1st-4th, Divorced, ?, Not-in-family,2,20
162, Private, HS-grad, Never-married, Other-service, Unmarried,9,40
163, Self-emp-inc, Masters, Divorced, Exec-managerial, Unmarried,14,40
164, Private, HS-grad, Never-married, Exec-managerial, Not-in-family,9,40
165, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband,14,40
166, Private, Some-college, Divorced, Other-service, Unmarried,10,40
167, Federal-gov, Assoc-acdm, Never-married, Exec-managerial, Not-in-family,12,42
168, State-gov, Masters, Widowed, Protective-serv, Unmarried,14,40
169, Private, 11th, Never-married, Handlers-cleaners, Own-child,7,16
170, Local-gov, Assoc-voc, Widowed, Prof-specialty, Not-in-family,11,20
171, Private, HS-grad, Never-married, Other-service, Not-in-family,9,40
172, State-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband,9,40
173, Private, Some-college, Married-civ-spouse, Sales, Husband,10,40
174, Private, Bachelors, Never-married, Craft-repair, Not-in-family,13,50
175, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband,13,40
176, Private, HS-grad, Married-spouse-absent, Sales, Unmarried,9,25
177, Private, HS-grad, Never-married, Craft-repair, Own-child,9,40
178, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family,9,40
179, Private, HS-grad, Never-married, Other-service, Own-child,9,12
180, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband,13,65
181, Local-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband,10,38
182, Private, Some-college, Divorced, Adm-clerical, Not-in-family,10,40
183, Private, Some-college, Never-married, Craft-repair, Not-in-family,10,45
184, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband,4,40
185, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Husband,10,42
186, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband,9,40
187, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Not-in-family,13,40
188, ?, Bachelors, Divorced, ?, Not-in-family,13,50
189, Private, Masters, Married-civ-spouse, Prof-specialty, Wife,14,50
190, State-gov, Doctorate, Married-civ-spouse, Prof-specialty, Husband,16,1
191, Private, Some-college, Divorced, Machine-op-inspct, Not-in-family,10,28
192, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband,10,40
193, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband,13,40
194, Private, Some-college, Married-civ-spouse, Tech-support, Husband,10,45
195, Federal-gov, Bachelors, Married-civ-spouse, Tech-support, Husband,13,24
196, Private, 5th-6th, Married-civ-spouse, Transport-moving, Other-relative,3,40
197, Private, Some-college, Divorced, Craft-repair, Not-in-family,10,40
198, Federal-gov, Masters, Never-married, Exec-managerial, Not-in-family,14,55
199, Private, Masters, Married-civ-spouse, Prof-specialty, Other-relative,14,40
200, Self-emp-not-inc, HS-grad, Never-married, Sales, Not-in-family,9,40
201, Private, Masters, Never-married, Prof-specialty, Not-in-family,14,40
202, ?, HS-grad, Never-married, ?, Own-child,9,40
203, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband,13,50
204, Local-gov, Some-college, Never-married, Prof-specialty, Not-in-family,10,40
205, State-gov, HS-grad, Divorced, Adm-clerical, Unmarried,9,35
206, Private, 11th, Never-married, Sales, Own-child,7,40
207, Private, Bachelors, Married-civ-spouse, Other-service, Husband,13,36
208, Private, HS-grad, Divorced, Craft-repair, Not-in-family,9,60
209, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Wife,9,35
210, Private, 11th, Never-married, Sales, Own-child,7,12
211, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband,9,40
212, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband,9,40
213, Private, Some-college, Never-married, Sales, Not-in-family,10,40
214, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband,9,40
215, Self-emp-inc, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband,4,40
216, Private, Bachelors, Never-married, Exec-managerial, Not-in-family,13,60
217, Private, Assoc-acdm, Divorced, Sales, Not-in-family,12,40
218, Private, Bachelors, Married-civ-spouse, Sales, Husband,13,50
219, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband,13,55
220, Private, 10th, Never-married, Craft-repair, Not-in-family,6,40
221, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband,10,40
222, ?, 1st-4th, Divorced, ?, Not-in-family,2,40
223, Private, HS-grad, Never-married, Other-service, Not-in-family,9,40
224, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband,9,20
225, Local-gov, Preschool, Never-married, Machine-op-inspct, Not-in-family,1,35
226, Private, HS-grad, Never-married, Sales, Own-child,9,40
227, ?, 10th, Divorced, ?, Not-in-family,6,10
228, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband,9,50
229, Private, Assoc-voc, Widowed, Adm-clerical, Not-in-family,11,20
230, Private, HS-grad, Divorced, Adm-clerical, Not-in-family,9,40
231, Private, 11th, Separated, Transport-moving, Not-in-family,7,40
232, Private, HS-grad, Divorced, Sales, Unmarried,9,38
233, Private, Some-college, Never-married, Adm-clerical, Not-in-family,10,42
234, Private, Some-college, Divorced, Craft-repair, Other-relative,10,40
235, Private, Prof-school, Never-married, Prof-specialty, Not-in-family,15,55
236, State-gov, HS-grad, Married-civ-spouse, Other-service, Husband,9,40
237, State-gov, Some-college, Never-married, Adm-clerical, Not-in-family,10,38
238, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband,13,50
239, Local-gov, Masters, Married-civ-spouse, Exec-managerial, Husband,14,70
241, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband,13,40
242, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Wife,9,20
243, State-gov, Assoc-acdm, Married-civ-spouse, Protective-serv, Husband,12,50
244, ?, Some-college, Never-married, ?, Own-child,10,20
245, Private, Some-college, Divorced, Craft-repair, Not-in-family,10,40
246, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband,9,35
247, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband,9,45
248, Private, HS-grad, Never-married, Other-service, Not-in-family,9,34
249, Private, Assoc-acdm, Married-civ-spouse, Tech-support, Husband,12,60
250, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband,9,40
251, Private, Prof-school, Married-civ-spouse, Prof-specialty, Wife,15,40
252, Private, Bachelors, Married-civ-spouse, Adm-clerical, Wife,13,40
253, Local-gov, 10th, Widowed, Other-service, Unmarried,6,30
254, Local-gov, Some-college, Never-married, Adm-clerical, Own-child,10,40
255, Private, Some-college, Never-married, Transport-moving, Not-in-family,10,20
256, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband,9,40
257, Private, HS-grad, Never-married, Other-service, Own-child,9,40
258, Private, HS-grad, Separated, Other-service, Not-in-family,9,30
259, Private, Assoc-voc, Widowed, Exec-managerial, Not-in-family,11,45
260, Private, 7th-8th, Divorced, Craft-repair, Not-in-family,4,40
261, Private, Bachelors, Divorced, Prof-specialty, Own-child,13,40
262, Private, HS-grad, Married-civ-spouse, Sales, Husband,9,60
263, Private, 11th, Never-married, Other-service, Own-child,7,12
264, Private, Some-college, Married-civ-spouse, Sales, Husband,10,40
265, Private, 11th, Married-civ-spouse, Craft-repair, Husband,7,40
266, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband,10,75
267, ?, Some-college, Never-married, ?, Own-child,10,24
268, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband,9,40
269, Private, Bachelors, Never-married, Prof-specialty, Not-in-family,13,45
270, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife,9,40
271, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband,9,40
272, Private, 9th, Never-married, Other-service, Own-child,5,24
273, Self-emp-not-inc, Masters, Married-civ-spouse, Farming-fishing, Husband,14,98
274, Local-gov, Masters, Never-married, Prof-specialty, Own-child,14,35
275, Private, HS-grad, Divorced, Prof-specialty, Own-child,9,40
276, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband,9,40
277, Private, Some-college, Married-civ-spouse, Craft-repair, Husband,10,40
278, Private, Some-college, Never-married, Exec-managerial, Not-in-family,10,40
279, Private, Some-college, Never-married, Tech-support, Own-child,10,40
280, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Wife,10,48
281, Private, Bachelors, Never-married, Prof-specialty, Not-in-family,13,15
282, Local-gov, Some-college, Married-civ-spouse, Craft-repair, Husband,10,40
283, Private, Assoc-acdm, Divorced, Sales, Unmarried,12,45
284, Private, Bachelors, Divorced, Prof-specialty, Not-in-family,13,42
285, Private, HS-grad, Never-married, Handlers-cleaners, Own-child,9,40
286, Federal-gov, Masters, Married-civ-spouse, Sales, Husband,14,40
287, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband,15,60
288, Private, Some-college, Divorced, Other-service, Not-in-family,10,45
289, Private, Bachelors, Never-married, Exec-managerial, Not-in-family,13,40
290, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband,4,40
291, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband,13,45
292, Private, HS-grad, Divorced, Prof-specialty, Not-in-family,9,40
293, Local-gov, Bachelors, Never-married, Protective-serv, Not-in-family,13,56
294, Private, Some-college, Never-married, Sales, Own-child,10,45
295, Private, Bachelors, Never-married, Tech-support, Unmarried,13,40
296, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband,9,16
297, Self-emp-inc, Bachelors, Divorced, Sales, Not-in-family,13,60
298, ?, Masters, Married-civ-spouse, ?, Wife,14,40
299, Private, HS-grad, Never-married, Craft-repair, Own-child,9,40
300, Private, HS-grad, Divorced, Sales, Not-in-family,9,80
301, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband,13,40
302, Private, Some-college, Never-married, Other-service, Not-in-family,10,25
303, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband,9,45
304, Private, HS-grad, Married-civ-spouse, Sales, Husband,9,40
305, Private, Some-college, Married-civ-spouse, Adm-clerical, Wife,10,40
306, Private, HS-grad, Divorced, Adm-clerical, Not-in-family,9,40
307, Private, Assoc-acdm, Never-married, Tech-support, Not-in-family,12,45
308, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family,12,33
309, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband,12,40
310, Self-emp-inc, Some-college, Married-civ-spouse, Farming-fishing, Husband,10,54
311, Private, Bachelors, Never-married, Sales, Not-in-family,13,40
312, Private, Masters, Married-civ-spouse, Exec-managerial, Husband,14,35
313, ?, Some-college, Never-married, ?, Own-child,10,25
314, Self-emp-not-inc, Bachelors, Divorced, Prof-specialty, Not-in-family,13,40
315, Private, Some-college, Never-married, Sales, Own-child,10,15
316, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family,10,40
317, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband,10,40
318, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Other-relative,3,40
319, Private, Some-college, Never-married, Tech-support, Not-in-family,10,40
320, Private, HS-grad, Widowed, Other-service, Not-in-family,9,24
321, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband,9,40
322, Private, Some-college, Married-civ-spouse, Craft-repair, Husband,10,50
323, Private, HS-grad, Divorced, Transport-moving, Not-in-family,9,45
324, Private, 11th, Never-married, Exec-managerial, Not-in-family,7,40
325, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Husband,14,10
326, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband,9,45
327, ?, Assoc-voc, Never-married, ?, Own-child,11,15
328, Private, Some-college, Married-civ-spouse, Prof-specialty, Wife,10,50
329, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband,9,40
330, Private, HS-grad, Never-married, Transport-moving, Not-in-family,9,55
331, Private, Some-college, Never-married, Craft-repair, Not-in-family,10,45
332, Private, Bachelors, Never-married, Adm-clerical, Not-in-family,13,40
333, Private, Assoc-voc, Never-married, Other-service, Not-in-family,11,40
334, Local-gov, 10th, Married-civ-spouse, Adm-clerical, Husband,6,40
335, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband,9,40
336, Private, 5th-6th, Never-married, Other-service, Other-relative,3,48
337, Private, HS-grad, Never-married, Craft-repair, Other-relative,9,40
338, Private, Masters, Never-married, Prof-specialty, Not-in-family,14,60
339, Private, HS-grad, Never-married, Sales, Unmarried,9,30
340, Private, HS-grad, Married-civ-spouse, Other-service, Husband,9,40
341, Private, Assoc-acdm, Never-married, Sales, Not-in-family,12,40
342, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband,11,40
343, State-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband,9,40
344, Private, HS-grad, Never-married, Farming-fishing, Not-in-family,9,20
345, State-gov, Some-college, Never-married, Protective-serv, Own-child,10,40
346, Self-emp-not-inc, Bachelors, Never-married, Sales, Not-in-family,13,42
347, ?, 11th, Married-civ-spouse, ?, Husband,7,8
348, ?, Assoc-voc, Divorced, ?, Unmarried,11,40
349, Private, Assoc-acdm, Married-spouse-absent, Other-service, Not-in-family,12,25
350, Private, Bachelors, Never-married, Prof-specialty, Own-child,13,25
351, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband,13,40
352, Private, HS-grad, Married-civ-spouse, Other-service, Husband,9,40
353, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband,13,40
354, Local-gov, 11th, Married-civ-spouse, Transport-moving, Husband,7,30
355, ?, Bachelors, Married-civ-spouse, ?, Husband,13,40
356, Federal-gov, HS-grad, Married-civ-spouse, Adm-clerical, Husband,9,40
357, Private, 11th, Widowed, Other-service, Unmarried,7,40
358, Private, Assoc-voc, Married-civ-spouse, Tech-support, Husband,11,40
359, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife,9,35
360, Self-emp-not-inc, 9th, Married-civ-spouse, Craft-repair, Husband,5,40
361, Private, 10th, Married-civ-spouse, Other-service, Wife,6,24
362, Private, Masters, Married-civ-spouse, Prof-specialty, Husband,14,40
363, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband,13,45
364, Private, Bachelors, Divorced, Exec-managerial, Not-in-family,13,45
365, Private, HS-grad, Married-spouse-absent, Sales, Not-in-family,9,55
366, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband,9,40
367, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband,10,45
368, Private, Assoc-acdm, Never-married, Sales, Not-in-family,12,15
369, Private, Bachelors, Divorced, Exec-managerial, Not-in-family,13,45
370, Private, HS-grad, Divorced, Sales, Unmarried,9,40
371, Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried,10,15
372, Private, 11th, Never-married, Other-service, Own-child,7,10
373, State-gov, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband,11,38
374, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband,9,40
375, Private, HS-grad, Never-married, Craft-repair, Not-in-family,9,40
376, Local-gov, Some-college, Never-married, Adm-clerical, Own-child,10,10
377, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife,9,40
378, Private, Some-college, Never-married, Sales, Not-in-family,10,40
379, Self-emp-not-inc, Masters, Divorced, Exec-managerial, Not-in-family,14,30
380, Private, HS-grad, Married-civ-spouse, Sales, Husband,9,50
381, Private, HS-grad, Divorced, Transport-moving, Not-in-family,9,40
382, Private, 5th-6th, Divorced, Craft-repair, Not-in-family,3,45
383, Private, Some-college, Married-civ-spouse, Craft-repair, Husband,10,40
384, Private, Some-college, Divorced, Sales, Not-in-family,10,40
385, Local-gov, Some-college, Married-civ-spouse, Transport-moving, Wife,10,40
386, Private, HS-grad, Never-married, Other-service, Not-in-family,9,25
387, Private, HS-grad, Separated, Machine-op-inspct, Not-in-family,9,40
388, Private, Some-college, Married-civ-spouse, Adm-clerical, Wife,10,6
389, Private, Some-college, Never-married, Adm-clerical, Own-child,10,16
390, Private, HS-grad, Never-married, Other-service, Other-relative,9,40
391, Private, HS-grad, Married-civ-spouse, Other-service, Wife,9,40
392, Private, Bachelors, Never-married, Craft-repair, Not-in-family,13,50
393, Self-emp-not-inc, Assoc-acdm, Separated, Craft-repair, Not-in-family,12,40
394, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband,13,45
395, Private, HS-grad, Never-married, Other-service, Not-in-family,9,35
