context_id,Date,Seasons,Holiday,Functioning Day
97,05/12/2017,Winter,No Holiday,Yes
98,05/12/2017,Winter,No Holiday,Yes
99,05/12/2017,Winter,No Holiday,Yes
100,05/12/2017,Winter,No Holiday,Yes
101,05/12/2017,Winter,No Holiday,Yes
102,05/12/2017,Winter,No Holiday,Yes
103,05/12/2017,Winter,No Holiday,Yes
104,05/12/2017,Winter,No Holiday,Yes
105,05/12/2017,Winter,No Holiday,Yes
106,05/12/2017,Winter,No Holiday,Yes
107,05/12/2017,Winter,No Holiday,Yes
108,05/12/2017,Winter,No Holiday,Yes
109,05/12/2017,Winter,No Holiday,Yes
110,05/12/2017,Winter,No Holiday,Yes
111,05/12/2017,Winter,No Holiday,Yes
112,05/12/2017,Winter,No Holiday,Yes
113,05/12/2017,Winter,No Holiday,Yes
114,05/12/2017,Winter,No Holiday,Yes
115,05/12/2017,Winter,No Holiday,Yes
116,05/12/2017,Winter,No Holiday,Yes
117,05/12/2017,Winter,No Holiday,Yes
118,05/12/2017,Winter,No Holiday,Yes
119,05/12/2017,Winter,No Holiday,Yes
120,05/12/2017,Winter,No Holiday,Yes
121,06/12/2017,Winter,No Holiday,Yes
122,06/12/2017,Winter,No Holiday,Yes
123,06/12/2017,Winter,No Holiday,Yes
124,06/12/2017,Winter,No Holiday,Yes
125,06/12/2017,Winter,No Holiday,Yes
126,06/12/2017,Winter,No Holiday,Yes
127,06/12/2017,Winter,No Holiday,Yes
128,06/12/2017,Winter,No Holiday,Yes
129,06/12/2017,Winter,No Holiday,Yes
130,06/12/2017,Winter,No Holiday,Yes
131,06/12/2017,Winter,No Holiday,Yes
132,06/12/2017,Winter,No Holiday,Yes
133,06/12/2017,Winter,No Holiday,Yes
134,06/12/2017,Winter,No Holiday,Yes
135,06/12/2017,Winter,No Holiday,Yes
136,06/12/2017,Winter,No Holiday,Yes
137,06/12/2017,Winter,No Holiday,Yes
138,06/12/2017,Winter,No Holiday,Yes
139,06/12/2017,Winter,No Holiday,Yes
140,06/12/2017,Winter,No Holiday,Yes
141,06/12/2017,Winter,No Holiday,Yes
142,06/12/2017,Winter,No Holiday,Yes
143,06/12/2017,Winter,No Holiday,Yes
144,06/12/2017,Winter,No Holiday,Yes
145,07/12/2017,Winter,No Holiday,Yes
146,07/12/2017,Winter,No Holiday,Yes
147,07/12/2017,Winter,No Holiday,Yes
148,07/12/2017,Winter,No Holiday,Yes
149,07/12/2017,Winter,No Holiday,Yes
150,07/12/2017,Winter,No Holiday,Yes
151,07/12/2017,Winter,No Holiday,Yes
152,07/12/2017,Winter,No Holiday,Yes
153,07/12/2017,Winter,No Holiday,Yes
154,07/12/2017,Winter,No Holiday,Yes
155,07/12/2017,Winter,No Holiday,Yes
156,07/12/2017,Winter,No Holiday,Yes
157,07/12/2017,Winter,No Holiday,Yes
158,07/12/2017,Winter,No Holiday,Yes
159,07/12/2017,Winter,No Holiday,Yes
160,07/12/2017,Winter,No Holiday,Yes
161,07/12/2017,Winter,No Holiday,Yes
162,07/12/2017,Winter,No Holiday,Yes
163,07/12/2017,Winter,No Holiday,Yes
164,07/12/2017,Winter,No Holiday,Yes
165,07/12/2017,Winter,No Holiday,Yes
166,07/12/2017,Winter,No Holiday,Yes
167,07/12/2017,Winter,No Holiday,Yes
168,07/12/2017,Winter,No Holiday,Yes
169,08/12/2017,Winter,No Holiday,Yes
170,08/12/2017,Winter,No Holiday,Yes
171,08/12/2017,Winter,No Holiday,Yes
172,08/12/2017,Winter,No Holiday,Yes
173,08/12/2017,Winter,No Holiday,Yes
174,08/12/2017,Winter,No Holiday,Yes
175,08/12/2017,Winter,No Holiday,Yes
176,08/12/2017,Winter,No Holiday,Yes
177,08/12/2017,Winter,No Holiday,Yes
178,08/12/2017,Winter,No Holiday,Yes
179,08/12/2017,Winter,No Holiday,Yes
180,08/12/2017,Winter,No Holiday,Yes
181,08/12/2017,Winter,No Holiday,Yes
182,08/12/2017,Winter,No Holiday,Yes
183,08/12/2017,Winter,No Holiday,Yes
184,08/12/2017,Winter,No Holiday,Yes
185,08/12/2017,Winter,No Holiday,Yes
186,08/12/2017,Winter,No Holiday,Yes
187,08/12/2017,Winter,No Holiday,Yes
188,08/12/2017,Winter,No Holiday,Yes
189,08/12/2017,Winter,No Holiday,Yes
190,08/12/2017,Winter,No Holiday,Yes
191,08/12/2017,Winter,No Holiday,Yes
192,08/12/2017,Winter,No Holiday,Yes
193,09/12/2017,Winter,No Holiday,Yes
194,09/12/2017,Winter,No Holiday,Yes
195,09/12/2017,Winter,No Holiday,Yes
196,09/12/2017,Winter,No Holiday,Yes
197,09/12/2017,Winter,No Holiday,Yes
198,09/12/2017,Winter,No Holiday,Yes
199,09/12/2017,Winter,No Holiday,Yes
200,09/12/2017,Winter,No Holiday,Yes
201,09/12/2017,Winter,No Holiday,Yes
202,09/12/2017,Winter,No Holiday,Yes
203,09/12/2017,Winter,No Holiday,Yes
204,09/12/2017,Winter,No Holiday,Yes
205,09/12/2017,Winter,No Holiday,Yes
206,09/12/2017,Winter,No Holiday,Yes
207,09/12/2017,Winter,No Holiday,Yes
208,09/12/2017,Winter,No Holiday,Yes
209,09/12/2017,Winter,No Holiday,Yes
210,09/12/2017,Winter,No Holiday,Yes
211,09/12/2017,Winter,No Holiday,Yes
212,09/12/2017,Winter,No Holiday,Yes
213,09/12/2017,Winter,No Holiday,Yes
214,09/12/2017,Winter,No Holiday,Yes
215,09/12/2017,Winter,No Holiday,Yes
216,09/12/2017,Winter,No Holiday,Yes
217,10/12/2017,Winter,No Holiday,Yes
218,10/12/2017,Winter,No Holiday,Yes
219,10/12/2017,Winter,No Holiday,Yes
220,10/12/2017,Winter,No Holiday,Yes
221,10/12/2017,Winter,No Holiday,Yes
222,10/12/2017,Winter,No Holiday,Yes
223,10/12/2017,Winter,No Holiday,Yes
224,10/12/2017,Winter,No Holiday,Yes
225,10/12/2017,Winter,No Holiday,Yes
226,10/12/2017,Winter,No Holiday,Yes
227,10/12/2017,Winter,No Holiday,Yes
228,10/12/2017,Winter,No Holiday,Yes
229,10/12/2017,Winter,No Holiday,Yes
230,10/12/2017,Winter,No Holiday,Yes
231,10/12/2017,Winter,No Holiday,Yes
232,10/12/2017,Winter,No Holiday,Yes
233,10/12/2017,Winter,No Holiday,Yes
234,10/12/2017,Winter,No Holiday,Yes
235,10/12/2017,Winter,No Holiday,Yes
236,10/12/2017,Winter,No Holiday,Yes
237,10/12/2017,Winter,No Holiday,Yes
238,10/12/2017,Winter,No Holiday,Yes
239,10/12/2017,Winter,No Holiday,Yes
240,10/12/2017,Winter,No Holiday,Yes
241,11/12/2017,Winter,No Holiday,Yes
242,11/12/2017,Winter,No Holiday,Yes
243,11/12/2017,Winter,No Holiday,Yes
244,11/12/2017,Winter,No Holiday,Yes
245,11/12/2017,Winter,No Holiday,Yes
246,11/12/2017,Winter,No Holiday,Yes
247,11/12/2017,Winter,No Holiday,Yes
248,11/12/2017,Winter,No Holiday,Yes
249,11/12/2017,Winter,No Holiday,Yes
250,11/12/2017,Winter,No Holiday,Yes
251,11/12/2017,Winter,No Holiday,Yes
252,11/12/2017,Winter,No Holiday,Yes
253,11/12/2017,Winter,No Holiday,Yes
254,11/12/2017,Winter,No Holiday,Yes
255,11/12/2017,Winter,No Holiday,Yes
256,11/12/2017,Winter,No Holiday,Yes
257,11/12/2017,Winter,No Holiday,Yes
258,11/12/2017,Winter,No Holiday,Yes
259,11/12/2017,Winter,No Holiday,Yes
260,11/12/2017,Winter,No Holiday,Yes
261,11/12/2017,Winter,No Holiday,Yes
262,11/12/2017,Winter,No Holiday,Yes
263,11/12/2017,Winter,No Holiday,Yes
264,11/12/2017,Winter,No Holiday,Yes
265,12/12/2017,Winter,No Holiday,Yes
266,12/12/2017,Winter,No Holiday,Yes
267,12/12/2017,Winter,No Holiday,Yes
268,12/12/2017,Winter,No Holiday,Yes
269,12/12/2017,Winter,No Holiday,Yes
270,12/12/2017,Winter,No Holiday,Yes
271,12/12/2017,Winter,No Holiday,Yes
272,12/12/2017,Winter,No Holiday,Yes
273,12/12/2017,Winter,No Holiday,Yes
274,12/12/2017,Winter,No Holiday,Yes
275,12/12/2017,Winter,No Holiday,Yes
276,12/12/2017,Winter,No Holiday,Yes
277,12/12/2017,Winter,No Holiday,Yes
278,12/12/2017,Winter,No Holiday,Yes
279,12/12/2017,Winter,No Holiday,Yes
280,12/12/2017,Winter,No Holiday,Yes
281,12/12/2017,Winter,No Holiday,Yes
282,12/12/2017,Winter,No Holiday,Yes
283,12/12/2017,Winter,No Holiday,Yes
284,12/12/2017,Winter,No Holiday,Yes
285,12/12/2017,Winter,No Holiday,Yes
286,12/12/2017,Winter,No Holiday,Yes
287,12/12/2017,Winter,No Holiday,Yes
288,12/12/2017,Winter,No Holiday,Yes
289,13/12/2017,Winter,No Holiday,Yes
290,13/12/2017,Winter,No Holiday,Yes
291,13/12/2017,Winter,No Holiday,Yes
292,13/12/2017,Winter,No Holiday,Yes
293,13/12/2017,Winter,No Holiday,Yes
294,13/12/2017,Winter,No Holiday,Yes
295,13/12/2017,Winter,No Holiday,Yes
296,13/12/2017,Winter,No Holiday,Yes
297,13/12/2017,Winter,No Holiday,Yes
298,13/12/2017,Winter,No Holiday,Yes
299,13/12/2017,Winter,No Holiday,Yes
300,13/12/2017,Winter,No Holiday,Yes
301,13/12/2017,Winter,No Holiday,Yes
302,13/12/2017,Winter,No Holiday,Yes
303,13/12/2017,Winter,No Holiday,Yes
304,13/12/2017,Winter,No Holiday,Yes
305,13/12/2017,Winter,No Holiday,Yes
306,13/12/2017,Winter,No Holiday,Yes
307,13/12/2017,Winter,No Holiday,Yes
308,13/12/2017,Winter,No Holiday,Yes
309,13/12/2017,Winter,No Holiday,Yes
310,13/12/2017,Winter,No Holiday,Yes
311,13/12/2017,Winter,No Holiday,Yes
312,13/12/2017,Winter,No Holiday,Yes
313,14/12/2017,Winter,No Holiday,Yes
314,14/12/2017,Winter,No Holiday,Yes
315,14/12/2017,Winter,No Holiday,Yes
316,14/12/2017,Winter,No Holiday,Yes
317,14/12/2017,Winter,No Holiday,Yes
318,14/12/2017,Winter,No Holiday,Yes
319,14/12/2017,Winter,No Holiday,Yes
320,14/12/2017,Winter,No Holiday,Yes
321,14/12/2017,Winter,No Holiday,Yes
322,14/12/2017,Winter,No Holiday,Yes
323,14/12/2017,Winter,No Holiday,Yes
324,14/12/2017,Winter,No Holiday,Yes
325,14/12/2017,Winter,No Holiday,Yes
326,14/12/2017,Winter,No Holiday,Yes
327,14/12/2017,Winter,No Holiday,Yes
328,14/12/2017,Winter,No Holiday,Yes
329,14/12/2017,Winter,No Holiday,Yes
330,14/12/2017,Winter,No Holiday,Yes
331,14/12/2017,Winter,No Holiday,Yes
332,14/12/2017,Winter,No Holiday,Yes
333,14/12/2017,Winter,No Holiday,Yes
334,14/12/2017,Winter,No Holiday,Yes
335,14/12/2017,Winter,No Holiday,Yes
336,14/12/2017,Winter,No Holiday,Yes
337,15/12/2017,Winter,No Holiday,Yes
338,15/12/2017,Winter,No Holiday,Yes
339,15/12/2017,Winter,No Holiday,Yes
340,15/12/2017,Winter,No Holiday,Yes
341,15/12/2017,Winter,No Holiday,Yes
342,15/12/2017,Winter,No Holiday,Yes
343,15/12/2017,Winter,No Holiday,Yes
344,15/12/2017,Winter,No Holiday,Yes
345,15/12/2017,Winter,No Holiday,Yes
346,15/12/2017,Winter,No Holiday,Yes
347,15/12/2017,Winter,No Holiday,Yes
348,15/12/2017,Winter,No Holiday,Yes
349,15/12/2017,Winter,No Holiday,Yes
350,15/12/2017,Winter,No Holiday,Yes
351,15/12/2017,Winter,No Holiday,Yes
352,15/12/2017,Winter,No Holiday,Yes
353,15/12/2017,Winter,No Holiday,Yes
354,15/12/2017,Winter,No Holiday,Yes
355,15/12/2017,Winter,No Holiday,Yes
356,15/12/2017,Winter,No Holiday,Yes
357,15/12/2017,Winter,No Holiday,Yes
358,15/12/2017,Winter,No Holiday,Yes
359,15/12/2017,Winter,No Holiday,Yes
360,15/12/2017,Winter,No Holiday,Yes
361,16/12/2017,Winter,No Holiday,Yes
362,16/12/2017,Winter,No Holiday,Yes
363,16/12/2017,Winter,No Holiday,Yes
364,16/12/2017,Winter,No Holiday,Yes
365,16/12/2017,Winter,No Holiday,Yes
366,16/12/2017,Winter,No Holiday,Yes
367,16/12/2017,Winter,No Holiday,Yes
368,16/12/2017,Winter,No Holiday,Yes
369,16/12/2017,Winter,No Holiday,Yes
370,16/12/2017,Winter,No Holiday,Yes
371,16/12/2017,Winter,No Holiday,Yes
372,16/12/2017,Winter,No Holiday,Yes
373,16/12/2017,Winter,No Holiday,Yes
374,16/12/2017,Winter,No Holiday,Yes
375,16/12/2017,Winter,No Holiday,Yes
376,16/12/2017,Winter,No Holiday,Yes
377,16/12/2017,Winter,No Holiday,Yes
378,16/12/2017,Winter,No Holiday,Yes
379,16/12/2017,Winter,No Holiday,Yes
380,16/12/2017,Winter,No Holiday,Yes
381,16/12/2017,Winter,No Holiday,Yes
382,16/12/2017,Winter,No Holiday,Yes
383,16/12/2017,Winter,No Holiday,Yes
384,16/12/2017,Winter,No Holiday,Yes
385,17/12/2017,Winter,No Holiday,Yes
386,17/12/2017,Winter,No Holiday,Yes
387,17/12/2017,Winter,No Holiday,Yes
388,17/12/2017,Winter,No Holiday,Yes
389,17/12/2017,Winter,No Holiday,Yes
390,17/12/2017,Winter,No Holiday,Yes
391,17/12/2017,Winter,No Holiday,Yes
392,17/12/2017,Winter,No Holiday,Yes
393,17/12/2017,Winter,No Holiday,Yes
394,17/12/2017,Winter,No Holiday,Yes
395,17/12/2017,Winter,No Holiday,Yes
396,17/12/2017,Winter,No Holiday,Yes
397,17/12/2017,Winter,No Holiday,Yes
398,17/12/2017,Winter,No Holiday,Yes
399,17/12/2017,Winter,No Holiday,Yes
400,17/12/2017,Winter,No Holiday,Yes
401,17/12/2017,Winter,No Holiday,Yes
402,17/12/2017,Winter,No Holiday,Yes
403,17/12/2017,Winter,No Holiday,Yes
404,17/12/2017,Winter,No Holiday,Yes
405,17/12/2017,Winter,No Holiday,Yes
406,17/12/2017,Winter,No Holiday,Yes
407,17/12/2017,Winter,No Holiday,Yes
408,17/12/2017,Winter,No Holiday,Yes
409,18/12/2017,Winter,No Holiday,Yes
410,18/12/2017,Winter,No Holiday,Yes
411,18/12/2017,Winter,No Holiday,Yes
412,18/12/2017,Winter,No Holiday,Yes
413,18/12/2017,Winter,No Holiday,Yes
414,18/12/2017,Winter,No Holiday,Yes
415,18/12/2017,Winter,No Holiday,Yes
416,18/12/2017,Winter,No Holiday,Yes
417,18/12/2017,Winter,No Holiday,Yes
418,18/12/2017,Winter,No Holiday,Yes
419,18/12/2017,Winter,No Holiday,Yes
420,18/12/2017,Winter,No Holiday,Yes
421,18/12/2017,Winter,No Holiday,Yes
422,18/12/2017,Winter,No Holiday,Yes
423,18/12/2017,Winter,No Holiday,Yes
424,18/12/2017,Winter,No Holiday,Yes
425,18/12/2017,Winter,No Holiday,Yes
426,18/12/2017,Winter,No Holiday,Yes
427,18/12/2017,Winter,No Holiday,Yes
428,18/12/2017,Winter,No Holiday,Yes
429,18/12/2017,Winter,No Holiday,Yes
430,18/12/2017,Winter,No Holiday,Yes
431,18/12/2017,Winter,No Holiday,Yes
432,18/12/2017,Winter,No Holiday,Yes
433,19/12/2017,Winter,No Holiday,Yes
434,19/12/2017,Winter,No Holiday,Yes
435,19/12/2017,Winter,No Holiday,Yes
436,19/12/2017,Winter,No Holiday,Yes
437,19/12/2017,Winter,No Holiday,Yes
438,19/12/2017,Winter,No Holiday,Yes
440,19/12/2017,Winter,No Holiday,Yes
441,19/12/2017,Winter,No Holiday,Yes
442,19/12/2017,Winter,No Holiday,Yes
443,19/12/2017,Winter,No Holiday,Yes
444,19/12/2017,Winter,No Holiday,Yes
445,19/12/2017,Winter,No Holiday,Yes
446,19/12/2017,Winter,No Holiday,Yes
447,19/12/2017,Winter,No Holiday,Yes
448,19/12/2017,Winter,No Holiday,Yes
449,19/12/2017,Winter,No Holiday,Yes
450,19/12/2017,Winter,No Holiday,Yes
451,19/12/2017,Winter,No Holiday,Yes
452,19/12/2017,Winter,No Holiday,Yes
453,19/12/2017,Winter,No Holiday,Yes
454,19/12/2017,Winter,No Holiday,Yes
455,19/12/2017,Winter,No Holiday,Yes
456,19/12/2017,Winter,No Holiday,Yes
457,20/12/2017,Winter,No Holiday,Yes
458,20/12/2017,Winter,No Holiday,Yes
459,20/12/2017,Winter,No Holiday,Yes
460,20/12/2017,Winter,No Holiday,Yes
461,20/12/2017,Winter,No Holiday,Yes
462,20/12/2017,Winter,No Holiday,Yes
463,20/12/2017,Winter,No Holiday,Yes
464,20/12/2017,Winter,No Holiday,Yes
465,20/12/2017,Winter,No Holiday,Yes
466,20/12/2017,Winter,No Holiday,Yes
467,20/12/2017,Winter,No Holiday,Yes
468,20/12/2017,Winter,No Holiday,Yes
469,20/12/2017,Winter,No Holiday,Yes
470,20/12/2017,Winter,No Holiday,Yes
471,20/12/2017,Winter,No Holiday,Yes
472,20/12/2017,Winter,No Holiday,Yes
473,20/12/2017,Winter,No Holiday,Yes
474,20/12/2017,Winter,No Holiday,Yes
475,20/12/2017,Winter,No Holiday,Yes
476,20/12/2017,Winter,No Holiday,Yes
477,20/12/2017,Winter,No Holiday,Yes
478,20/12/2017,Winter,No Holiday,Yes
479,20/12/2017,Winter,No Holiday,Yes
480,20/12/2017,Winter,No Holiday,Yes
481,21/12/2017,Winter,No Holiday,Yes
482,21/12/2017,Winter,No Holiday,Yes
483,21/12/2017,Winter,No Holiday,Yes
484,21/12/2017,Winter,No Holiday,Yes
485,21/12/2017,Winter,No Holiday,Yes
486,21/12/2017,Winter,No Holiday,Yes
487,21/12/2017,Winter,No Holiday,Yes
488,21/12/2017,Winter,No Holiday,Yes
489,21/12/2017,Winter,No Holiday,Yes
490,21/12/2017,Winter,No Holiday,Yes
491,21/12/2017,Winter,No Holiday,Yes
492,21/12/2017,Winter,No Holiday,Yes
493,21/12/2017,Winter,No Holiday,Yes
494,21/12/2017,Winter,No Holiday,Yes
495,21/12/2017,Winter,No Holiday,Yes
496,21/12/2017,Winter,No Holiday,Yes
497,21/12/2017,Winter,No Holiday,Yes
498,21/12/2017,Winter,No Holiday,Yes
499,21/12/2017,Winter,No Holiday,Yes
500,21/12/2017,Winter,No Holiday,Yes
501,21/12/2017,Winter,No Holiday,Yes
502,21/12/2017,Winter,No Holiday,Yes
503,21/12/2017,Winter,No Holiday,Yes
504,21/12/2017,Winter,No Holiday,Yes
505,22/12/2017,Winter,Holiday,Yes
506,22/12/2017,Winter,Holiday,Yes
507,22/12/2017,Winter,Holiday,Yes
508,22/12/2017,Winter,Holiday,Yes
509,22/12/2017,Winter,Holiday,Yes
510,22/12/2017,Winter,Holiday,Yes
511,22/12/2017,Winter,Holiday,Yes
512,22/12/2017,Winter,Holiday,Yes
513,22/12/2017,Winter,Holiday,Yes
514,22/12/2017,Winter,Holiday,Yes
515,22/12/2017,Winter,Holiday,Yes
516,22/12/2017,Winter,Holiday,Yes
517,22/12/2017,Winter,Holiday,Yes
518,22/12/2017,Winter,Holiday,Yes
519,22/12/2017,Winter,Holiday,Yes
520,22/12/2017,Winter,Holiday,Yes
521,22/12/2017,Winter,Holiday,Yes
522,22/12/2017,Winter,Holiday,Yes
523,22/12/2017,Winter,Holiday,Yes
524,22/12/2017,Winter,Holiday,Yes
525,22/12/2017,Winter,Holiday,Yes
526,22/12/2017,Winter,Holiday,Yes
527,22/12/2017,Winter,Holiday,Yes
528,22/12/2017,Winter,Holiday,Yes
529,23/12/2017,Winter,No Holiday,Yes
530,23/12/2017,Winter,No Holiday,Yes
531,23/12/2017,Winter,No Holiday,Yes
532,23/12/2017,Winter,No Holiday,Yes
533,23/12/2017,Winter,No Holiday,Yes
534,23/12/2017,Winter,No Holiday,Yes
535,23/12/2017,Winter,No Holiday,Yes
536,23/12/2017,Winter,No Holiday,Yes
537,23/12/2017,Winter,No Holiday,Yes
538,23/12/2017,Winter,No Holiday,Yes
539,23/12/2017,Winter,No Holiday,Yes
540,23/12/2017,Winter,No Holiday,Yes
541,23/12/2017,Winter,No Holiday,Yes
542,23/12/2017,Winter,No Holiday,Yes
543,23/12/2017,Winter,No Holiday,Yes
544,23/12/2017,Winter,No Holiday,Yes
545,23/12/2017,Winter,No Holiday,Yes
546,23/12/2017,Winter,No Holiday,Yes
547,23/12/2017,Winter,No Holiday,Yes
548,23/12/2017,Winter,No Holiday,Yes
549,23/12/2017,Winter,No Holiday,Yes
550,23/12/2017,Winter,No Holiday,Yes
551,23/12/2017,Winter,No Holiday,Yes
552,23/12/2017,Winter,No Holiday,Yes
553,24/12/2017,Winter,Holiday,Yes
554,24/12/2017,Winter,Holiday,Yes
555,24/12/2017,Winter,Holiday,Yes
556,24/12/2017,Winter,Holiday,Yes
557,24/12/2017,Winter,Holiday,Yes
558,24/12/2017,Winter,Holiday,Yes
559,24/12/2017,Winter,Holiday,Yes
560,24/12/2017,Winter,Holiday,Yes
561,24/12/2017,Winter,Holiday,Yes
562,24/12/2017,Winter,Holiday,Yes
563,24/12/2017,Winter,Holiday,Yes
564,24/12/2017,Winter,Holiday,Yes
565,24/12/2017,Winter,Holiday,Yes
566,24/12/2017,Winter,Holiday,Yes
567,24/12/2017,Winter,Holiday,Yes
568,24/12/2017,Winter,Holiday,Yes
569,24/12/2017,Winter,Holiday,Yes
570,24/12/2017,Winter,Holiday,Yes
571,24/12/2017,Winter,Holiday,Yes
572,24/12/2017,Winter,Holiday,Yes
573,24/12/2017,Winter,Holiday,Yes
574,24/12/2017,Winter,Holiday,Yes
575,24/12/2017,Winter,Holiday,Yes
576,24/12/2017,Winter,Holiday,Yes
577,25/12/2017,Winter,Holiday,Yes
578,25/12/2017,Winter,Holiday,Yes
579,25/12/2017,Winter,Holiday,Yes
580,25/12/2017,Winter,Holiday,Yes
581,25/12/2017,Winter,Holiday,Yes
582,25/12/2017,Winter,Holiday,Yes
583,25/12/2017,Winter,Holiday,Yes
584,25/12/2017,Winter,Holiday,Yes
585,25/12/2017,Winter,Holiday,Yes
586,25/12/2017,Winter,Holiday,Yes
587,25/12/2017,Winter,Holiday,Yes
588,25/12/2017,Winter,Holiday,Yes
589,25/12/2017,Winter,Holiday,Yes
590,25/12/2017,Winter,Holiday,Yes
591,25/12/2017,Winter,Holiday,Yes
592,25/12/2017,Winter,Holiday,Yes
593,25/12/2017,Winter,Holiday,Yes
594,25/12/2017,Winter,Holiday,Yes
595,25/12/2017,Winter,Holiday,Yes
596,25/12/2017,Winter,Holiday,Yes
597,25/12/2017,Winter,Holiday,Yes
598,25/12/2017,Winter,Holiday,Yes
599,25/12/2017,Winter,Holiday,Yes
600,25/12/2017,Winter,Holiday,Yes
601,26/12/2017,Winter,No Holiday,Yes
602,26/12/2017,Winter,No Holiday,Yes
603,26/12/2017,Winter,No Holiday,Yes
604,26/12/2017,Winter,No Holiday,Yes
605,26/12/2017,Winter,No Holiday,Yes
606,26/12/2017,Winter,No Holiday,Yes
607,26/12/2017,Winter,No Holiday,Yes
608,26/12/2017,Winter,No Holiday,Yes
609,26/12/2017,Winter,No Holiday,Yes
610,26/12/2017,Winter,No Holiday,Yes
611,26/12/2017,Winter,No Holiday,Yes
