rental_id,Date,Hour,Rented Bike Count
108,05/12/2017,11,334
109,05/12/2017,12,321
110,05/12/2017,13,325
111,05/12/2017,14,334
112,05/12/2017,15,353
113,05/12/2017,16,435
114,05/12/2017,17,529
115,05/12/2017,18,789
116,05/12/2017,19,597
117,05/12/2017,20,418
118,05/12/2017,21,415
119,05/12/2017,22,393
120,05/12/2017,23,244
121,06/12/2017,0,145
122,06/12/2017,1,144
123,06/12/2017,2,117
124,06/12/2017,3,78
125,06/12/2017,4,58
126,06/12/2017,5,87
127,06/12/2017,6,142
128,06/12/2017,7,379
129,06/12/2017,8,802
130,06/12/2017,9,440
131,06/12/2017,10,307
132,06/12/2017,11,381
133,06/12/2017,12,405
134,06/12/2017,13,442
135,06/12/2017,14,416
136,06/12/2017,15,412
137,06/12/2017,16,496
138,06/12/2017,17,239
139,06/12/2017,18,204
140,06/12/2017,19,205
141,06/12/2017,20,190
142,06/12/2017,21,165
143,06/12/2017,22,222
144,06/12/2017,23,193
145,07/12/2017,0,198
146,07/12/2017,1,218
147,07/12/2017,2,149
148,07/12/2017,3,102
149,07/12/2017,4,62
150,07/12/2017,5,83
151,07/12/2017,6,137
152,07/12/2017,7,367
153,07/12/2017,8,754
154,07/12/2017,9,415
155,07/12/2017,10,321
156,07/12/2017,11,333
157,07/12/2017,12,431
158,07/12/2017,13,394
159,07/12/2017,14,390
160,07/12/2017,15,430
161,07/12/2017,16,471
162,07/12/2017,17,552
163,07/12/2017,18,795
164,07/12/2017,19,507
165,07/12/2017,20,390
166,07/12/2017,21,402
167,07/12/2017,22,389
168,07/12/2017,23,259
169,08/12/2017,0,233
170,08/12/2017,1,230
171,08/12/2017,2,131
172,08/12/2017,3,99
173,08/12/2017,4,71
174,08/12/2017,5,84
175,08/12/2017,6,158
176,08/12/2017,7,387
177,08/12/2017,8,780
178,08/12/2017,9,395
179,08/12/2017,10,261
180,08/12/2017,11,310
181,08/12/2017,12,355
182,08/12/2017,13,354
183,08/12/2017,14,350
184,08/12/2017,15,362
185,08/12/2017,16,401
186,08/12/2017,17,500
187,08/12/2017,18,752
188,08/12/2017,19,477
189,08/12/2017,20,384
190,08/12/2017,21,336
191,08/12/2017,22,347
192,08/12/2017,23,275
193,09/12/2017,0,267
194,09/12/2017,1,296
195,09/12/2017,2,237
196,09/12/2017,3,169
197,09/12/2017,4,96
198,09/12/2017,5,56
199,09/12/2017,6,76
200,09/12/2017,7,127
201,09/12/2017,8,222
202,09/12/2017,9,291
203,09/12/2017,10,273
204,09/12/2017,11,351
205,09/12/2017,12,427
206,09/12/2017,13,431
207,09/12/2017,14,486
208,09/12/2017,15,569
209,09/12/2017,16,546
210,09/12/2017,17,481
211,09/12/2017,18,384
212,09/12/2017,19,275
213,09/12/2017,20,298
214,09/12/2017,21,321
215,09/12/2017,22,289
216,09/12/2017,23,265
217,10/12/2017,0,326
218,10/12/2017,1,280
219,10/12/2017,2,243
220,10/12/2017,3,169
221,10/12/2017,4,71
222,10/12/2017,5,13
223,10/12/2017,6,9
224,10/12/2017,7,20
225,10/12/2017,8,35
226,10/12/2017,9,31
227,10/12/2017,10,19
228,10/12/2017,11,58
229,10/12/2017,12,119
230,10/12/2017,13,182
231,10/12/2017,14,235
232,10/12/2017,15,180
233,10/12/2017,16,214
234,10/12/2017,17,226
235,10/12/2017,18,210
236,10/12/2017,19,181
237,10/12/2017,20,165
238,10/12/2017,21,167
239,10/12/2017,22,152
240,10/12/2017,23,148
241,11/12/2017,0,125
242,11/12/2017,1,111
243,11/12/2017,2,67
244,11/12/2017,3,45
245,11/12/2017,4,44
246,11/12/2017,5,86
247,11/12/2017,6,136
248,11/12/2017,7,325
249,11/12/2017,8,653
250,11/12/2017,9,326
251,11/12/2017,10,212
252,11/12/2017,11,226
253,11/12/2017,12,247
254,11/12/2017,13,241
255,11/12/2017,14,253
256,11/12/2017,15,269
257,11/12/2017,16,277
258,11/12/2017,17,361
259,11/12/2017,18,557
260,11/12/2017,19,371
261,11/12/2017,20,254
262,11/12/2017,21,266
263,11/12/2017,22,222
264,11/12/2017,23,174
265,12/12/2017,0,133
266,12/12/2017,1,127
267,12/12/2017,2,95
268,12/12/2017,3,54
269,12/12/2017,4,46
270,12/12/2017,5,65
271,12/12/2017,6,104
272,12/12/2017,7,280
273,12/12/2017,8,580
274,12/12/2017,9,275
275,12/12/2017,10,184
276,12/12/2017,11,201
277,12/12/2017,12,228
278,12/12/2017,13,225
279,12/12/2017,14,258
280,12/12/2017,15,250
281,12/12/2017,16,248
282,12/12/2017,17,305
283,12/12/2017,18,529
284,12/12/2017,19,350
285,12/12/2017,20,260
286,12/12/2017,21,270
287,12/12/2017,22,256
288,12/12/2017,23,173
289,13/12/2017,0,168
290,13/12/2017,1,183
291,13/12/2017,2,120
292,13/12/2017,3,79
293,13/12/2017,4,41
294,13/12/2017,5,68
295,13/12/2017,6,109
296,13/12/2017,7,310
297,13/12/2017,8,591
298,13/12/2017,9,340
299,13/12/2017,10,202
300,13/12/2017,11,251
301,13/12/2017,12,267
302,13/12/2017,13,251
303,13/12/2017,14,240
304,13/12/2017,15,240
305,13/12/2017,16,278
306,13/12/2017,17,392
307,13/12/2017,18,537
308,13/12/2017,19,373
309,13/12/2017,20,263
310,13/12/2017,21,271
311,13/12/2017,22,271
312,13/12/2017,23,174
313,14/12/2017,0,171
314,14/12/2017,1,170
315,14/12/2017,2,107
316,14/12/2017,3,80
317,14/12/2017,4,52
318,14/12/2017,5,62
319,14/12/2017,6,108
320,14/12/2017,7,279
321,14/12/2017,8,621
322,14/12/2017,9,305
323,14/12/2017,10,189
324,14/12/2017,11,247
325,14/12/2017,12,278
326,14/12/2017,13,282
327,14/12/2017,14,294
328,14/12/2017,15,301
329,14/12/2017,16,335
330,14/12/2017,17,382
331,14/12/2017,18,612
332,14/12/2017,19,410
333,14/12/2017,20,277
334,14/12/2017,21,316
335,14/12/2017,22,309
336,14/12/2017,23,211
337,15/12/2017,0,227
338,15/12/2017,1,241
339,15/12/2017,2,162
340,15/12/2017,3,110
341,15/12/2017,4,69
342,15/12/2017,5,68
343,15/12/2017,6,129
344,15/12/2017,7,285
345,15/12/2017,8,658
346,15/12/2017,9,330
347,15/12/2017,10,221
348,15/12/2017,11,279
349,15/12/2017,12,309
350,15/12/2017,13,325
351,15/12/2017,14,329
352,15/12/2017,15,342
353,15/12/2017,16,354
354,15/12/2017,17,464
355,15/12/2017,18,682
356,15/12/2017,19,451
357,15/12/2017,20,320
358,15/12/2017,21,300
359,15/12/2017,22,296
360,15/12/2017,23,247
361,16/12/2017,0,217
362,16/12/2017,1,302
363,16/12/2017,2,228
364,16/12/2017,3,129
365,16/12/2017,4,80
366,16/12/2017,5,45
367,16/12/2017,6,66
368,16/12/2017,7,90
369,16/12/2017,8,190
370,16/12/2017,9,195
371,16/12/2017,10,201
372,16/12/2017,11,239
373,16/12/2017,12,252
374,16/12/2017,13,296
375,16/12/2017,14,292
376,16/12/2017,15,291
377,16/12/2017,16,258
378,16/12/2017,17,277
379,16/12/2017,18,212
380,16/12/2017,19,173
381,16/12/2017,20,143
382,16/12/2017,21,159
383,16/12/2017,22,155
384,16/12/2017,23,142
385,17/12/2017,0,175
386,17/12/2017,1,146
387,17/12/2017,2,132
388,17/12/2017,3,100
389,17/12/2017,4,41
390,17/12/2017,5,31
391,17/12/2017,6,39
392,17/12/2017,7,53
393,17/12/2017,8,94
394,17/12/2017,9,122
395,17/12/2017,10,142
396,17/12/2017,11,189
397,17/12/2017,12,216
398,17/12/2017,13,223
399,17/12/2017,14,268
400,17/12/2017,15,278
401,17/12/2017,16,256
402,17/12/2017,17,266
403,17/12/2017,18,204
404,17/12/2017,19,157
405,17/12/2017,20,166
406,17/12/2017,21,168
407,17/12/2017,22,172
408,17/12/2017,23,138
409,18/12/2017,0,151
410,18/12/2017,1,97
411,18/12/2017,2,38
412,18/12/2017,3,32
413,18/12/2017,4,29
414,18/12/2017,5,27
415,18/12/2017,6,45
416,18/12/2017,7,96
417,18/12/2017,8,146
418,18/12/2017,9,52
419,18/12/2017,10,36
420,18/12/2017,11,44
421,18/12/2017,12,62
422,18/12/2017,13,76
423,18/12/2017,14,116
424,18/12/2017,15,137
425,18/12/2017,16,181
426,18/12/2017,17,175
427,18/12/2017,18,281
428,18/12/2017,19,198
429,18/12/2017,20,165
430,18/12/2017,21,148
431,18/12/2017,22,160
432,18/12/2017,23,128
433,19/12/2017,0,122
434,19/12/2017,1,122
435,19/12/2017,2,93
436,19/12/2017,3,55
437,19/12/2017,4,39
438,19/12/2017,5,55
439,19/12/2017,6,78
440,19/12/2017,7,165
441,19/12/2017,8,390
442,19/12/2017,9,199
443,19/12/2017,10,151
444,19/12/2017,11,174
445,19/12/2017,12,191
446,19/12/2017,13,189
447,19/12/2017,14,178
448,19/12/2017,15,195
449,19/12/2017,16,211
450,19/12/2017,17,256
451,19/12/2017,18,384
452,19/12/2017,19,276
453,19/12/2017,20,225
454,19/12/2017,21,224
455,19/12/2017,22,213
456,19/12/2017,23,149
457,20/12/2017,0,142
458,20/12/2017,1,172
459,20/12/2017,2,108
460,20/12/2017,3,71
461,20/12/2017,4,38
462,20/12/2017,5,56
463,20/12/2017,6,97
464,20/12/2017,7,213
465,20/12/2017,8,466
466,20/12/2017,9,239
467,20/12/2017,10,162
468,20/12/2017,11,204
469,20/12/2017,12,209
470,20/12/2017,13,228
471,20/12/2017,14,243
472,20/12/2017,15,240
473,20/12/2017,16,225
474,20/12/2017,17,237
475,20/12/2017,18,329
476,20/12/2017,19,190
477,20/12/2017,20,165
478,20/12/2017,21,197
479,20/12/2017,22,184
480,20/12/2017,23,153
481,21/12/2017,0,166
482,21/12/2017,1,189
483,21/12/2017,2,132
484,21/12/2017,3,79
485,21/12/2017,4,58
486,21/12/2017,5,49
487,21/12/2017,6,84
488,21/12/2017,7,178
489,21/12/2017,8,423
490,21/12/2017,9,265
491,21/12/2017,10,169
492,21/12/2017,11,243
493,21/12/2017,12,290
494,21/12/2017,13,285
495,21/12/2017,14,255
496,21/12/2017,15,316
497,21/12/2017,16,301
498,21/12/2017,17,366
499,21/12/2017,18,531
500,21/12/2017,19,355
501,21/12/2017,20,288
502,21/12/2017,21,248
503,21/12/2017,22,252
504,21/12/2017,23,212
505,22/12/2017,0,196
506,22/12/2017,1,250
507,22/12/2017,2,161
508,22/12/2017,3,99
509,22/12/2017,4,64
510,22/12/2017,5,76
511,22/12/2017,6,114
512,22/12/2017,7,283
513,22/12/2017,8,544
514,22/12/2017,9,298
515,22/12/2017,10,248
516,22/12/2017,11,278
517,22/12/2017,12,301
518,22/12/2017,13,320
519,22/12/2017,14,326
520,22/12/2017,15,386
521,22/12/2017,16,416
522,22/12/2017,17,477
523,22/12/2017,18,671
524,22/12/2017,19,481
525,22/12/2017,20,323
526,22/12/2017,21,309
527,22/12/2017,22,314
528,22/12/2017,23,249
529,23/12/2017,0,282
530,23/12/2017,1,337
531,23/12/2017,2,312
532,23/12/2017,3,230
533,23/12/2017,4,120
534,23/12/2017,5,59
535,23/12/2017,6,63
536,23/12/2017,7,99
537,23/12/2017,8,188
538,23/12/2017,9,239
539,23/12/2017,10,235
540,23/12/2017,11,282
541,23/12/2017,12,325
542,23/12/2017,13,423
543,23/12/2017,14,405
544,23/12/2017,15,443
545,23/12/2017,16,473
546,23/12/2017,17,453
547,23/12/2017,18,340
548,23/12/2017,19,260
549,23/12/2017,20,258
550,23/12/2017,21,279
551,23/12/2017,22,282
552,23/12/2017,23,237
553,24/12/2017,0,266
554,24/12/2017,1,251
555,24/12/2017,2,196
556,24/12/2017,3,149
557,24/12/2017,4,79
558,24/12/2017,5,44
559,24/12/2017,6,12
560,24/12/2017,7,3
561,24/12/2017,8,4
562,24/12/2017,9,3
563,24/12/2017,10,4
564,24/12/2017,11,9
565,24/12/2017,12,4
566,24/12/2017,13,7
567,24/12/2017,14,28
568,24/12/2017,15,38
569,24/12/2017,16,54
570,24/12/2017,17,104
571,24/12/2017,18,128
572,24/12/2017,19,132
573,24/12/2017,20,116
574,24/12/2017,21,145
575,24/12/2017,22,110
576,24/12/2017,23,128
577,25/12/2017,0,160
578,25/12/2017,1,132
579,25/12/2017,2,115
580,25/12/2017,3,100
581,25/12/2017,4,72
582,25/12/2017,5,32
583,25/12/2017,6,59
584,25/12/2017,7,61
585,25/12/2017,8,94
586,25/12/2017,9,107
587,25/12/2017,10,133
588,25/12/2017,11,179
589,25/12/2017,12,221
590,25/12/2017,13,244
591,25/12/2017,14,274
592,25/12/2017,15,319
593,25/12/2017,16,272
594,25/12/2017,17,260
595,25/12/2017,18,237
596,25/12/2017,19,184
597,25/12/2017,20,181
598,25/12/2017,21,185
599,25/12/2017,22,176
600,25/12/2017,23,169
601,26/12/2017,0,178
602,26/12/2017,1,127
603,26/12/2017,2,85
604,26/12/2017,3,72
605,26/12/2017,4,49
606,26/12/2017,5,65
607,26/12/2017,6,120
608,26/12/2017,7,296
609,26/12/2017,8,578
610,26/12/2017,9,293
611,26/12/2017,10,180
612,26/12/2017,11,250
613,26/12/2017,12,262
614,26/12/2017,13,262
615,26/12/2017,14,271
616,26/12/2017,15,246
617,26/12/2017,16,282
618,26/12/2017,17,350
619,26/12/2017,18,481
620,26/12/2017,19,317
621,26/12/2017,20,252
622,26/12/2017,21,220
623,26/12/2017,22,213
624,26/12/2017,23,156
625,27/12/2017,0,133
626,27/12/2017,1,142
627,27/12/2017,2,93
628,27/12/2017,3,81
629,27/12/2017,4,55
630,27/12/2017,5,66
631,27/12/2017,6,105
632,27/12/2017,7,262
633,27/12/2017,8,502
634,27/12/2017,9,279
635,27/12/2017,10,146
636,27/12/2017,11,213
637,27/12/2017,12,230
638,27/12/2017,13,258
639,27/12/2017,14,231
640,27/12/2017,15,228
641,27/12/2017,16,269
642,27/12/2017,17,314
643,27/12/2017,18,466
644,27/12/2017,19,315
645,27/12/2017,20,262
646,27/12/2017,21,242
647,27/12/2017,22,243
648,27/12/2017,23,216
649,28/12/2017,0,164
650,28/12/2017,1,169
651,28/12/2017,2,163
652,28/12/2017,3,86
653,28/12/2017,4,50
654,28/12/2017,5,61
655,28/12/2017,6,103
656,28/12/2017,7,257
657,28/12/2017,8,554
658,28/12/2017,9,326
659,28/12/2017,10,225
660,28/12/2017,11,288
661,28/12/2017,12,286
662,28/12/2017,13,301
663,28/12/2017,14,311
664,28/12/2017,15,303
665,28/12/2017,16,390
666,28/12/2017,17,407
667,28/12/2017,18,552
668,28/12/2017,19,402
669,28/12/2017,20,319
670,28/12/2017,21,332
671,28/12/2017,22,285
672,28/12/2017,23,260
673,29/12/2017,0,233
674,29/12/2017,1,269
675,29/12/2017,2,210
676,29/12/2017,3,135
677,29/12/2017,4,85
678,29/12/2017,5,67
679,29/12/2017,6,128
680,29/12/2017,7,289
681,29/12/2017,8,636
682,29/12/2017,9,353
683,29/12/2017,10,252
684,29/12/2017,11,317
685,29/12/2017,12,363
686,29/12/2017,13,370
687,29/12/2017,14,419
688,29/12/2017,15,426
689,29/12/2017,16,504
690,29/12/2017,17,534
691,29/12/2017,18,574
692,29/12/2017,19,395
693,29/12/2017,20,292
694,29/12/2017,21,282
695,29/12/2017,22,294
696,29/12/2017,23,236
697,30/12/2017,0,240
698,30/12/2017,1,234
699,30/12/2017,2,192
700,30/12/2017,3,127
701,30/12/2017,4,86
702,30/12/2017,5,52
703,30/12/2017,6,62
704,30/12/2017,7,88
705,30/12/2017,8,162
706,30/12/2017,9,224
707,30/12/2017,10,208
708,30/12/2017,11,237
709,30/12/2017,12,274
710,30/12/2017,13,333
711,30/12/2017,14,356
712,30/12/2017,15,337
713,30/12/2017,16,345
714,30/12/2017,17,183
715,30/12/2017,18,45
716,30/12/2017,19,40
717,30/12/2017,20,66
718,30/12/2017,21,64
719,30/12/2017,22,30
720,30/12/2017,23,42
721,31/12/2017,0,43
722,31/12/2017,1,43
723,31/12/2017,2,65
724,31/12/2017,3,65
725,31/12/2017,4,32
726,31/12/2017,5,22
727,31/12/2017,6,25
728,31/12/2017,7,39
729,31/12/2017,8,84
730,31/12/2017,9,103
731,31/12/2017,10,110
732,31/12/2017,11,142
733,31/12/2017,12,209
734,31/12/2017,13,267
735,31/12/2017,14,262
736,31/12/2017,15,300
737,31/12/2017,16,272
738,31/12/2017,17,240
739,31/12/2017,18,215
740,31/12/2017,19,163
741,31/12/2017,20,161
742,31/12/2017,21,179
743,31/12/2017,22,155
744,31/12/2017,23,227
745,01/01/2018,0,206
746,01/01/2018,1,230
747,01/01/2018,2,178
748,01/01/2018,3,119
749,01/01/2018,4,62
750,01/01/2018,5,61
751,01/01/2018,6,65
752,01/01/2018,7,81
753,01/01/2018,8,89
754,01/01/2018,9,121
755,01/01/2018,10,139
756,01/01/2018,11,169
757,01/01/2018,12,225
758,01/01/2018,13,248
759,01/01/2018,14,298
760,01/01/2018,15,344
761,01/01/2018,16,310
762,01/01/2018,17,271
763,01/01/2018,18,218
764,01/01/2018,19,125
765,01/01/2018,20,206
766,01/01/2018,21,203
767,01/01/2018,22,168
768,01/01/2018,23,154
769,02/01/2018,0,148
770,02/01/2018,1,108
771,02/01/2018,2,69
772,02/01/2018,3,41
773,02/01/2018,4,31
774,02/01/2018,5,58
775,02/01/2018,6,139
776,02/01/2018,7,344
777,02/01/2018,8,655
778,02/01/2018,9,315
779,02/01/2018,10,208
780,02/01/2018,11,269
781,02/01/2018,12,293
782,02/01/2018,13,273
783,02/01/2018,14,302
784,02/01/2018,15,295
785,02/01/2018,16,320
786,02/01/2018,17,373
787,02/01/2018,18,675
788,02/01/2018,19,403
789,02/01/2018,20,364
790,02/01/2018,21,304
791,02/01/2018,22,273
792,02/01/2018,23,186
793,03/01/2018,0,160
794,03/01/2018,1,130
795,03/01/2018,2,110
796,03/01/2018,3,67
797,03/01/2018,4,43
798,03/01/2018,5,67
799,03/01/2018,6,137
800,03/01/2018,7,308
801,03/01/2018,8,670
802,03/01/2018,9,342
803,03/01/2018,10,213
804,03/01/2018,11,267
805,03/01/2018,12,297
806,03/01/2018,13,279
807,03/01/2018,14,270
808,03/01/2018,15,286
809,03/01/2018,16,299
810,03/01/2018,17,382
811,03/01/2018,18,637
812,03/01/2018,19,431
813,03/01/2018,20,294
814,03/01/2018,21,335
815,03/01/2018,22,291
816,03/01/2018,23,197
817,04/01/2018,0,159
818,04/01/2018,1,150
819,04/01/2018,2,123
820,04/01/2018,3,57
821,04/01/2018,4,38
822,04/01/2018,5,66
823,04/01/2018,6,120
824,04/01/2018,7,302
825,04/01/2018,8,646
826,04/01/2018,9,340
827,04/01/2018,10,197
828,04/01/2018,11,264
829,04/01/2018,12,290
830,04/01/2018,13,284
831,04/01/2018,14,262
832,04/01/2018,15,281
833,04/01/2018,16,309
834,04/01/2018,17,397
835,04/01/2018,18,603
836,04/01/2018,19,417
837,04/01/2018,20,311
838,04/01/2018,21,310
839,04/01/2018,22,306
840,04/01/2018,23,221
841,05/01/2018,0,202
842,05/01/2018,1,170
843,05/01/2018,2,118
844,05/01/2018,3,67
845,05/01/2018,4,47
846,05/01/2018,5,75
847,05/01/2018,6,123
848,05/01/2018,7,327
849,05/01/2018,8,665
850,05/01/2018,9,354
851,05/01/2018,10,232
852,05/01/2018,11,308
853,05/01/2018,12,362
854,05/01/2018,13,312
855,05/01/2018,14,343
856,05/01/2018,15,333
857,05/01/2018,16,329
858,05/01/2018,17,446
859,05/01/2018,18,635
860,05/01/2018,19,443
861,05/01/2018,20,322
862,05/01/2018,21,284
863,05/01/2018,22,281
864,05/01/2018,23,189
865,06/01/2018,0,184
866,06/01/2018,1,222
867,06/01/2018,2,176
868,06/01/2018,3,103
869,06/01/2018,4,61
870,06/01/2018,5,48
871,06/01/2018,6,69
872,06/01/2018,7,105
873,06/01/2018,8,186
874,06/01/2018,9,221
875,06/01/2018,10,204
876,06/01/2018,11,245
877,06/01/2018,12,283
878,06/01/2018,13,356
879,06/01/2018,14,370
880,06/01/2018,15,373
881,06/01/2018,16,352
882,06/01/2018,17,354
883,06/01/2018,18,271
884,06/01/2018,19,207
885,06/01/2018,20,189
886,06/01/2018,21,214
887,06/01/2018,22,218
888,06/01/2018,23,169
889,07/01/2018,0,192
890,07/01/2018,1,162
891,07/01/2018,2,128
892,07/01/2018,3,102
893,07/01/2018,4,62
894,07/01/2018,5,40
895,07/01/2018,6,38
896,07/01/2018,7,60
897,07/01/2018,8,122
898,07/01/2018,9,143
899,07/01/2018,10,179
900,07/01/2018,11,214
901,07/01/2018,12,278
902,07/01/2018,13,265
903,07/01/2018,14,331
904,07/01/2018,15,368
905,07/01/2018,16,333
906,07/01/2018,17,349
907,07/01/2018,18,270
908,07/01/2018,19,246
909,07/01/2018,20,233
910,07/01/2018,21,236
911,07/01/2018,22,214
912,07/01/2018,23,149
913,08/01/2018,0,149
914,08/01/2018,1,109
915,08/01/2018,2,77
916,08/01/2018,3,53
917,08/01/2018,4,46
918,08/01/2018,5,67
919,08/01/2018,6,159
920,08/01/2018,7,374
921,08/01/2018,8,701
922,08/01/2018,9,387
923,08/01/2018,10,253
924,08/01/2018,11,278
925,08/01/2018,12,356
926,08/01/2018,13,303
927,08/01/2018,14,349
928,08/01/2018,15,318
929,08/01/2018,16,353
930,08/01/2018,17,385
931,08/01/2018,18,316
932,08/01/2018,19,127
933,08/01/2018,20,144
934,08/01/2018,21,146
935,08/01/2018,22,149
936,08/01/2018,23,112
937,09/01/2018,0,100
938,09/01/2018,1,107
939,09/01/2018,2,75
940,09/01/2018,3,52
941,09/01/2018,4,38
942,09/01/2018,5,52
943,09/01/2018,6,126
944,09/01/2018,7,245
945,09/01/2018,8,554
946,09/01/2018,9,320
947,09/01/2018,10,190
948,09/01/2018,11,247
949,09/01/2018,12,262
950,09/01/2018,13,265
951,09/01/2018,14,265
952,09/01/2018,15,257
953,09/01/2018,16,262
954,09/01/2018,17,332
955,09/01/2018,18,558
956,09/01/2018,19,364
957,09/01/2018,20,302
958,09/01/2018,21,281
959,09/01/2018,22,166
960,09/01/2018,23,80
961,10/01/2018,0,61
962,10/01/2018,1,78
963,10/01/2018,2,63
964,10/01/2018,3,40
965,10/01/2018,4,31
966,10/01/2018,5,39
967,10/01/2018,6,84
968,10/01/2018,7,158
969,10/01/2018,8,387
970,10/01/2018,9,225
971,10/01/2018,10,150
972,10/01/2018,11,168
973,10/01/2018,12,217
974,10/01/2018,13,207
975,10/01/2018,14,177
976,10/01/2018,15,193
977,10/01/2018,16,196
978,10/01/2018,17,266
979,10/01/2018,18,437
980,10/01/2018,19,259
981,10/01/2018,20,207
982,10/01/2018,21,214
983,10/01/2018,22,165
984,10/01/2018,23,139
985,11/01/2018,0,98
986,11/01/2018,1,100
987,11/01/2018,2,89
988,11/01/2018,3,38
989,11/01/2018,4,33
990,11/01/2018,5,42
991,11/01/2018,6,82
992,11/01/2018,7,203
993,11/01/2018,8,443
994,11/01/2018,9,227
995,11/01/2018,10,152
996,11/01/2018,11,146
997,11/01/2018,12,187
998,11/01/2018,13,178
999,11/01/2018,14,187
1000,11/01/2018,15,181
1001,11/01/2018,16,179
1002,11/01/2018,17,219
1003,11/01/2018,18,352
1004,11/01/2018,19,251
1005,11/01/2018,20,177
1006,11/01/2018,21,162
1007,11/01/2018,22,172
1008,11/01/2018,23,119
1009,12/01/2018,0,105
1010,12/01/2018,1,99
1011,12/01/2018,2,83
1012,12/01/2018,3,42
1013,12/01/2018,4,30
1014,12/01/2018,5,35
1015,12/01/2018,6,92
1016,12/01/2018,7,189
1017,12/01/2018,8,419
1018,12/01/2018,9,196
1019,12/01/2018,10,119
1020,12/01/2018,11,140
1021,12/01/2018,12,178
1022,12/01/2018,13,177
1023,12/01/2018,14,173
1024,12/01/2018,15,177
1025,12/01/2018,16,196
1026,12/01/2018,17,259
1027,12/01/2018,18,405
1028,12/01/2018,19,273
1029,12/01/2018,20,210
1030,12/01/2018,21,184
1031,12/01/2018,22,186
1032,12/01/2018,23,144
1033,13/01/2018,0,152
1034,13/01/2018,1,168
1035,13/01/2018,2,145
1036,13/01/2018,3,77
1037,13/01/2018,4,47
1038,13/01/2018,5,40
1039,13/01/2018,6,42
1040,13/01/2018,7,43
1041,13/01/2018,8,67
1042,13/01/2018,9,102
1043,13/01/2018,10,106
1044,13/01/2018,11,133
1045,13/01/2018,12,174
1046,13/01/2018,13,212
1047,13/01/2018,14,215
1048,13/01/2018,15,251
1049,13/01/2018,16,249
1050,13/01/2018,17,277
1051,13/01/2018,18,223
1052,13/01/2018,19,167
1053,13/01/2018,20,158
1054,13/01/2018,21,156
1055,13/01/2018,22,168
1056,13/01/2018,23,131
1057,14/01/2018,0,149
1058,14/01/2018,1,150
1059,14/01/2018,2,111
1060,14/01/2018,3,79
1061,14/01/2018,4,48
1062,14/01/2018,5,29
1063,14/01/2018,6,49
1064,14/01/2018,7,59
1065,14/01/2018,8,81
1066,14/01/2018,9,118
1067,14/01/2018,10,134
1068,14/01/2018,11,174
