weather_id,Date,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm)
59,03/12/2017,4.4,89.0,2.2,257.0,2.7,0.24,0.0,0.0
60,03/12/2017,5.1,87.0,1.4,321.0,3.1,0.25,0.0,0.0
61,03/12/2017,5.8,85.0,1.7,349.0,3.4,0.43,0.0,0.0
62,03/12/2017,6.8,81.0,1.9,390.0,3.7,0.6,0.0,0.0
63,03/12/2017,7.6,76.0,1.2,422.0,3.6,0.69,0.0,0.0
64,03/12/2017,8.0,73.0,1.6,433.0,3.4,0.53,0.0,0.0
65,03/12/2017,7.6,77.0,1.6,399.0,3.8,0.2,0.0,0.0
66,03/12/2017,6.7,82.0,1.5,358.0,3.8,0.05,0.0,0.0
67,03/12/2017,6.0,84.0,1.9,327.0,3.4,0.0,0.0,0.0
68,03/12/2017,5.7,85.0,1.7,309.0,3.3,0.0,0.0,0.0
69,03/12/2017,5.2,87.0,1.4,253.0,3.2,0.0,0.0,0.0
70,03/12/2017,4.7,87.0,1.2,247.0,2.7,0.0,0.0,0.0
71,03/12/2017,4.3,89.0,1.8,201.0,2.6,0.0,0.0,0.0
72,03/12/2017,3.9,90.0,1.3,194.0,2.4,0.0,0.0,0.0
73,04/12/2017,4.2,88.0,0.6,216.0,2.3,0.0,0.0,0.0
74,04/12/2017,4.3,87.0,0.5,221.0,2.3,0.0,0.0,0.0
75,04/12/2017,4.4,87.0,1.8,207.0,2.4,0.0,0.0,0.0
76,04/12/2017,3.6,85.0,2.3,206.0,1.3,0.0,0.0,0.0
77,04/12/2017,2.8,89.0,1.5,130.0,1.1,0.0,0.0,0.0
78,04/12/2017,2.0,83.0,2.7,253.0,-0.5,0.0,0.0,0.0
79,04/12/2017,1.2,76.0,3.7,371.0,-2.5,0.0,0.1,0.0
80,04/12/2017,0.2,68.0,3.4,702.0,-5.0,0.0,0.0,0.0
81,04/12/2017,-0.8,69.0,3.5,954.0,-5.7,0.01,0.0,0.0
82,04/12/2017,-1.5,47.0,4.2,1888.0,-11.3,0.22,0.0,0.0
83,04/12/2017,-1.1,40.0,4.5,2000.0,-13.0,0.64,0.0,0.0
84,04/12/2017,-0.5,41.0,4.1,1799.0,-12.1,0.94,0.0,0.0
85,04/12/2017,-0.3,38.0,4.8,1823.0,-12.9,1.11,0.0,0.0
86,04/12/2017,0.0,30.0,5.4,1938.0,-15.5,1.17,0.0,0.0
87,04/12/2017,0.1,27.0,4.5,2000.0,-16.7,1.09,0.0,0.0
88,04/12/2017,-0.1,25.0,5.8,2000.0,-17.8,0.88,0.0,0.0
89,04/12/2017,-0.2,23.0,4.7,2000.0,-18.8,0.55,0.0,0.0
90,04/12/2017,-1.3,26.0,5.3,2000.0,-18.3,0.18,0.0,0.0
91,04/12/2017,-2.1,29.0,3.9,2000.0,-17.7,0.0,0.0,0.0
92,04/12/2017,-2.9,32.0,3.2,2000.0,-17.3,0.0,0.0,0.0
93,04/12/2017,-3.6,38.0,3.0,2000.0,-15.8,0.0,0.0,0.0
94,04/12/2017,-4.6,43.0,4.5,2000.0,-15.3,0.0,0.0,0.0
95,04/12/2017,-5.3,45.0,2.5,2000.0,-15.3,0.0,0.0,0.0
96,04/12/2017,-5.8,44.0,2.4,2000.0,-16.1,0.0,0.0,0.0
97,05/12/2017,-6.1,42.0,2.6,2000.0,-16.9,0.0,0.0,0.0
98,05/12/2017,-6.5,41.0,2.8,2000.0,-17.6,0.0,0.0,0.0
99,05/12/2017,-6.8,41.0,2.5,2000.0,-17.8,0.0,0.0,0.0
100,05/12/2017,-6.9,39.0,2.0,2000.0,-18.5,0.0,0.0,0.0
101,05/12/2017,-7.2,34.0,3.0,2000.0,-20.4,0.0,0.0,0.0
102,05/12/2017,-7.4,33.0,2.6,2000.0,-20.9,0.0,0.0,0.0
103,05/12/2017,-7.4,34.0,3.2,2000.0,-20.6,0.0,0.0,0.0
104,05/12/2017,-7.5,33.0,2.2,2000.0,-21.0,0.0,0.0,0.0
105,05/12/2017,-8.1,36.0,1.6,2000.0,-20.5,0.01,0.0,0.0
106,05/12/2017,-7.6,31.0,1.3,1974.0,-21.8,0.21,0.0,0.0
107,05/12/2017,-5.5,26.0,2.8,1967.0,-22.0,0.64,0.0,0.0
108,05/12/2017,-3.9,25.0,0.0,1959.0,-21.0,0.0,0.0,0.0
109,05/12/2017,-2.3,25.0,0.0,1962.0,-19.7,0.0,0.0,0.0
110,05/12/2017,-1.6,27.0,0.0,1955.0,-18.2,0.0,0.0,0.0
111,05/12/2017,-1.1,28.0,0.0,2000.0,-17.3,0.0,0.0,0.0
112,05/12/2017,-0.7,28.0,0.0,2000.0,-16.9,0.0,0.0,0.0
113,05/12/2017,-0.5,30.0,0.0,2000.0,-16.0,0.0,0.0,0.0
114,05/12/2017,-1.6,35.0,0.0,2000.0,-15.1,0.0,0.0,0.0
115,05/12/2017,-2.6,40.0,0.0,2000.0,-14.4,0.0,0.0,0.0
116,05/12/2017,-3.2,45.0,0.0,2000.0,-13.5,0.0,0.0,0.0
117,05/12/2017,-3.5,46.0,0.0,2000.0,-13.4,0.0,0.0,0.0
118,05/12/2017,-3.7,47.0,0.0,2000.0,-13.3,0.0,0.0,0.0
119,05/12/2017,-2.8,49.0,0.0,2000.0,-12.0,0.0,0.0,0.0
120,05/12/2017,-2.5,59.0,0.0,1210.0,-9.4,0.0,0.0,0.0
121,06/12/2017,-2.8,77.0,0.0,331.0,-6.2,0.0,0.1,0.1
122,06/12/2017,-3.0,79.0,0.0,293.0,-6.1,0.0,0.0,0.3
123,06/12/2017,-3.0,79.0,0.0,1862.0,-6.1,0.0,0.0,0.4
124,06/12/2017,-3.2,78.0,0.0,1808.0,-6.4,0.0,0.2,0.4
125,06/12/2017,-3.4,75.0,0.0,1982.0,-7.2,0.0,0.0,0.4
126,06/12/2017,-3.6,76.0,0.0,1934.0,-7.2,0.0,0.0,0.4
127,06/12/2017,-3.7,76.0,0.0,1864.0,-7.3,0.0,0.0,0.4
128,06/12/2017,-4.2,77.0,0.0,1741.0,-7.6,0.0,0.0,0.3
129,06/12/2017,-4.2,78.0,0.0,1518.0,-7.4,0.01,0.0,0.2
130,06/12/2017,-3.3,70.0,0.0,1324.0,-7.9,0.25,0.0,0.2
131,06/12/2017,-0.9,64.0,0.0,1224.0,-6.8,0.63,0.0,0.2
132,06/12/2017,1.6,57.0,1.2,1261.0,-6.0,0.93,0.0,0.0
133,06/12/2017,2.4,52.0,0.9,1224.0,-6.4,1.08,0.0,0.0
134,06/12/2017,4.2,47.0,1.1,1469.0,-6.1,1.1,0.0,0.0
135,06/12/2017,5.5,34.0,1.0,1966.0,-9.1,0.96,0.0,0.0
136,06/12/2017,5.5,31.0,3.1,1968.0,-10.3,0.72,0.0,0.0
137,06/12/2017,5.3,37.0,2.9,2000.0,-8.2,0.36,0.0,0.0
138,06/12/2017,4.1,60.0,2.5,1565.0,-2.9,0.1,0.0,0.0
139,06/12/2017,1.7,90.0,1.0,66.0,0.2,0.0,0.3,0.3
140,06/12/2017,1.2,92.0,0.7,180.0,0.0,0.0,0.0,1.0
141,06/12/2017,1.2,94.0,0.6,228.0,0.3,0.0,0.0,1.0
142,06/12/2017,1.1,92.0,0.5,235.0,0.0,0.0,0.7,1.0
143,06/12/2017,1.3,92.0,0.6,233.0,0.1,0.0,0.0,1.0
144,06/12/2017,1.3,92.0,0.6,209.0,0.1,0.0,0.0,1.0
145,07/12/2017,1.4,92.0,0.5,240.0,0.2,0.0,0.0,0.9
146,07/12/2017,1.5,92.0,0.4,227.0,0.3,0.0,0.0,0.9
147,07/12/2017,1.4,92.0,0.7,168.0,0.2,0.0,0.0,0.9
148,07/12/2017,1.9,91.0,1.4,218.0,0.5,0.0,0.0,0.9
149,07/12/2017,1.6,92.0,0.7,119.0,0.4,0.0,0.0,0.9
150,07/12/2017,1.5,92.0,1.1,175.0,0.3,0.0,0.0,0.9
151,07/12/2017,1.0,93.0,0.5,148.0,0.0,0.0,0.0,0.9
152,07/12/2017,0.3,93.0,0.5,173.0,-0.7,0.0,0.0,0.9
153,07/12/2017,-0.2,96.0,0.8,173.0,-0.7,0.01,0.0,0.8
154,07/12/2017,0.1,91.0,0.8,265.0,-1.1,0.14,0.0,0.8
155,07/12/2017,1.1,83.0,0.7,311.0,-1.4,0.41,0.0,0.7
156,07/12/2017,2.3,69.0,1.7,628.0,-2.8,0.63,0.0,0.6
157,07/12/2017,3.7,65.0,2.4,833.0,-2.2,0.98,0.0,0.3
158,07/12/2017,4.1,37.0,3.1,1767.0,-9.3,1.14,0.0,0.0
159,07/12/2017,4.4,36.0,2.7,1975.0,-9.4,1.04,0.0,0.0
160,07/12/2017,4.0,35.0,3.1,1962.0,-10.1,0.84,0.0,0.0
161,07/12/2017,3.2,38.0,2.9,1817.0,-9.7,0.51,0.0,0.0
162,07/12/2017,2.1,50.0,2.0,1434.0,-7.2,0.15,0.0,0.0
163,07/12/2017,0.7,46.0,2.7,1558.0,-9.6,0.0,0.0,0.0
164,07/12/2017,-0.4,47.0,2.5,1269.0,-10.3,0.0,0.0,0.0
165,07/12/2017,-1.4,47.0,2.5,1620.0,-11.2,0.0,0.0,0.0
166,07/12/2017,-2.2,46.0,2.2,1975.0,-12.2,0.0,0.0,0.0
167,07/12/2017,-2.7,48.0,2.6,1844.0,-12.2,0.0,0.0,0.0
168,07/12/2017,-3.2,50.0,2.1,1887.0,-12.1,0.0,0.0,0.0
169,08/12/2017,-3.5,49.0,2.6,1893.0,-12.6,0.0,0.0,0.0
170,08/12/2017,-3.7,50.0,2.5,1902.0,-12.6,0.0,0.0,0.0
171,08/12/2017,-4.3,53.0,1.0,1918.0,-12.4,0.0,0.0,0.0
172,08/12/2017,-4.8,52.0,1.6,1978.0,-13.1,0.0,0.0,0.0
173,08/12/2017,-5.3,53.0,2.4,1936.0,-13.4,0.0,0.0,0.0
174,08/12/2017,-5.8,56.0,2.0,1941.0,-13.1,0.0,0.0,0.0
175,08/12/2017,-6.0,56.0,3.5,1853.0,-13.3,0.0,0.0,0.0
176,08/12/2017,-6.5,57.0,0.8,1776.0,-13.6,0.0,0.0,0.0
177,08/12/2017,-7.0,59.0,0.8,1559.0,-13.6,0.01,0.0,0.0
178,08/12/2017,-6.7,50.0,0.9,1492.0,-15.4,0.23,0.0,0.0
179,08/12/2017,-5.3,44.0,2.8,1516.0,-15.6,0.63,0.0,0.0
180,08/12/2017,-3.7,39.0,1.4,1595.0,-15.6,0.93,0.0,0.0
181,08/12/2017,-2.0,30.0,1.4,1728.0,-17.3,1.14,0.0,0.0
182,08/12/2017,-1.7,28.0,1.8,1963.0,-17.8,1.22,0.0,0.0
183,08/12/2017,-1.3,27.0,3.1,1906.0,-17.9,1.12,0.0,0.0
184,08/12/2017,-0.8,26.0,3.3,1977.0,-17.9,0.87,0.0,0.0
185,08/12/2017,-1.1,24.0,3.4,2000.0,-19.1,0.56,0.0,0.0
186,08/12/2017,-2.4,30.0,2.7,2000.0,-17.6,0.18,0.0,0.0
187,08/12/2017,-3.1,33.0,1.2,2000.0,-17.1,0.0,0.0,0.0
188,08/12/2017,-3.3,35.0,1.1,2000.0,-16.6,0.0,0.0,0.0
189,08/12/2017,-3.3,34.0,1.5,2000.0,-16.9,0.0,0.0,0.0
190,08/12/2017,-3.3,35.0,0.5,2000.0,-16.6,0.0,0.0,0.0
191,08/12/2017,-3.4,39.0,1.2,2000.0,-15.4,0.0,0.0,0.0
192,08/12/2017,-3.5,43.0,0.9,2000.0,-14.3,0.0,0.0,0.0
193,09/12/2017,-3.5,48.0,0.9,1967.0,-12.9,0.0,0.0,0.0
194,09/12/2017,-4.1,49.0,0.6,2000.0,-13.2,0.0,0.0,0.0
195,09/12/2017,-4.7,50.0,0.7,1983.0,-13.5,0.0,0.0,0.0
196,09/12/2017,-4.3,47.0,0.6,1992.0,-13.9,0.0,0.0,0.0
197,09/12/2017,-4.3,49.0,0.7,2000.0,-13.4,0.0,0.0,0.0
198,09/12/2017,-4.7,49.0,0.8,1999.0,-13.8,0.0,0.0,0.0
199,09/12/2017,-5.1,53.0,0.9,1975.0,-13.2,0.0,0.0,0.0
200,09/12/2017,-5.5,56.0,0.8,1950.0,-12.9,0.0,0.0,0.0
201,09/12/2017,-5.4,56.0,0.7,1940.0,-12.8,0.01,0.0,0.0
202,09/12/2017,-4.7,48.0,1.0,1784.0,-14.0,0.23,0.0,0.0
203,09/12/2017,-2.2,42.0,1.3,1646.0,-13.4,0.61,0.0,0.0
204,09/12/2017,0.0,45.0,1.1,1500.0,-10.5,0.89,0.0,0.0
205,09/12/2017,2.4,40.0,0.8,1809.0,-9.8,1.05,0.0,0.0
206,09/12/2017,3.9,36.0,2.0,1702.0,-9.8,1.13,0.0,0.0
207,09/12/2017,4.7,32.0,2.2,1948.0,-10.6,1.06,0.0,0.0
208,09/12/2017,5.2,30.0,2.0,1963.0,-11.0,0.84,0.0,0.0
209,09/12/2017,4.4,33.0,1.6,1963.0,-10.5,0.4,0.0,0.0
210,09/12/2017,3.5,37.0,1.8,1963.0,-9.8,0.1,0.0,0.0
211,09/12/2017,2.5,41.0,1.0,1974.0,-9.4,0.0,0.0,0.0
212,09/12/2017,1.5,48.0,0.4,1878.0,-8.3,0.0,0.0,0.0
213,09/12/2017,0.8,51.0,1.4,1848.0,-8.2,0.0,0.0,0.0
214,09/12/2017,-0.1,55.0,0.7,1654.0,-8.0,0.0,0.0,0.0
215,09/12/2017,-0.5,55.0,0.6,1655.0,-8.4,0.0,0.0,0.0
216,09/12/2017,-0.1,54.0,1.3,1570.0,-8.3,0.0,0.0,0.0
217,10/12/2017,-0.2,55.0,1.0,1629.0,-8.1,0.0,0.0,0.0
218,10/12/2017,-0.2,54.0,0.5,1747.0,-8.4,0.0,0.0,0.0
219,10/12/2017,0.2,52.0,0.7,1726.0,-8.5,0.0,0.0,0.0
220,10/12/2017,0.3,53.0,0.5,1748.0,-8.1,0.0,0.0,0.0
221,10/12/2017,0.4,52.0,1.6,1816.0,-8.3,0.0,0.0,0.0
222,10/12/2017,0.3,74.0,1.0,178.0,-3.7,0.0,0.0,0.7
223,10/12/2017,-0.5,90.0,0.9,91.0,-1.9,0.0,2.5,2.7
224,10/12/2017,-0.4,92.0,1.1,121.0,-1.5,0.0,0.0,4.0
225,10/12/2017,-0.2,90.0,1.2,378.0,-1.6,0.0,0.0,4.1
226,10/12/2017,0.2,90.0,1.0,305.0,-1.2,0.0,1.6,4.3
227,10/12/2017,0.5,91.0,0.4,143.0,-0.8,0.0,0.0,4.3
228,10/12/2017,0.9,92.0,0.9,137.0,-0.2,0.03,0.0,3.9
229,10/12/2017,2.3,88.0,0.3,245.0,0.5,0.28,0.0,3.1
230,10/12/2017,3.3,87.0,1.1,230.0,1.3,0.54,0.0,2.1
231,10/12/2017,4.2,85.0,0.7,325.0,1.8,0.65,0.0,1.4
232,10/12/2017,6.7,63.0,4.5,715.0,0.1,0.35,0.0,1.0
233,10/12/2017,5.4,71.0,3.5,622.0,0.5,0.2,0.0,0.5
234,10/12/2017,3.6,65.0,4.3,1061.0,-2.3,0.03,0.0,0.4
235,10/12/2017,2.0,61.0,3.0,2000.0,-4.7,0.0,0.0,0.0
236,10/12/2017,1.6,53.0,4.0,2000.0,-6.9,0.0,0.0,0.0
237,10/12/2017,0.6,57.0,3.9,1954.0,-6.9,0.0,0.0,0.0
238,10/12/2017,0.0,59.0,3.0,1862.0,-7.0,0.0,0.0,0.0
239,10/12/2017,-1.0,56.0,4.7,2000.0,-8.6,0.0,0.0,0.0
240,10/12/2017,-1.4,43.0,4.3,2000.0,-12.3,0.0,0.0,0.0
241,11/12/2017,-2.5,39.0,3.4,2000.0,-14.5,0.0,0.0,0.0
242,11/12/2017,-3.4,36.0,3.8,2000.0,-16.3,0.0,0.0,0.0
243,11/12/2017,-4.2,35.0,3.4,2000.0,-17.4,0.0,0.0,0.0
244,11/12/2017,-4.7,38.0,2.4,2000.0,-16.8,0.0,0.0,0.0
245,11/12/2017,-5.2,35.0,3.2,2000.0,-18.3,0.0,0.0,0.0
246,11/12/2017,-5.6,38.0,3.2,1974.0,-17.6,0.0,0.0,0.0
247,11/12/2017,-5.9,39.0,2.9,1979.0,-17.6,0.0,0.0,0.0
248,11/12/2017,-6.0,39.0,3.1,1996.0,-17.7,0.0,0.0,0.0
249,11/12/2017,-6.0,38.0,3.6,1994.0,-18.0,0.01,0.0,0.0
250,11/12/2017,-5.9,36.0,5.1,1941.0,-18.6,0.1,0.0,0.0
251,11/12/2017,-5.3,32.0,4.5,2000.0,-19.4,0.62,0.0,0.0
252,11/12/2017,-4.7,36.0,3.8,2000.0,-17.5,1.0,0.0,0.0
253,11/12/2017,-5.2,33.0,4.6,1973.0,-19.0,1.26,0.0,0.0
254,11/12/2017,-5.4,32.0,5.1,1986.0,-19.5,1.24,0.0,0.0
255,11/12/2017,-5.4,31.0,4.1,1945.0,-19.9,1.13,0.0,0.0
256,11/12/2017,-5.5,33.0,4.5,2000.0,-19.2,0.92,0.0,0.0
257,11/12/2017,-6.0,40.0,4.0,2000.0,-17.4,0.55,0.0,0.0
258,11/12/2017,-7.1,44.0,4.2,2000.0,-17.3,0.18,0.0,0.0
259,11/12/2017,-7.9,43.0,3.3,2000.0,-18.3,0.0,0.0,0.0
260,11/12/2017,-8.6,45.0,3.9,2000.0,-18.4,0.0,0.0,0.0
261,11/12/2017,-9.3,49.0,3.8,2000.0,-18.0,0.0,0.0,0.0
262,11/12/2017,-9.7,51.0,2.5,2000.0,-17.9,0.0,0.0,0.0
263,11/12/2017,-10.2,50.0,3.0,2000.0,-18.6,0.0,0.0,0.0
264,11/12/2017,-10.7,53.0,1.2,2000.0,-18.4,0.0,0.0,0.0
265,12/12/2017,-11.0,51.0,1.1,2000.0,-19.1,0.0,0.0,0.0
266,12/12/2017,-11.2,51.0,1.1,2000.0,-19.3,0.0,0.0,0.0
267,12/12/2017,-11.5,50.0,0.7,2000.0,-19.8,0.0,0.0,0.0
268,12/12/2017,-11.6,50.0,2.2,1995.0,-19.9,0.0,0.0,0.0
269,12/12/2017,-11.6,47.0,2.1,1982.0,-20.6,0.0,0.0,0.0
270,12/12/2017,-11.6,45.0,2.8,1951.0,-21.1,0.0,0.0,0.0
271,12/12/2017,-11.8,47.0,2.5,1973.0,-20.8,0.0,0.0,0.0
272,12/12/2017,-12.1,50.0,2.3,1929.0,-20.4,0.0,0.0,0.0
273,12/12/2017,-12.3,52.0,1.3,1914.0,-20.1,0.0,0.0,0.0
274,12/12/2017,-11.8,46.0,2.9,1956.0,-21.1,0.1,0.0,0.0
275,12/12/2017,-10.5,45.0,3.3,1855.0,-20.1,0.6,0.0,0.0
276,12/12/2017,-9.4,42.0,3.1,1815.0,-19.9,0.93,0.0,0.0
277,12/12/2017,-8.3,35.0,2.9,1967.0,-21.0,1.14,0.0,0.0
278,12/12/2017,-6.9,37.0,2.4,1955.0,-19.1,1.22,0.0,0.0
279,12/12/2017,-5.4,32.0,2.0,1930.0,-19.5,1.12,0.0,0.0
280,12/12/2017,-5.8,30.0,2.8,2000.0,-20.6,0.92,0.0,0.0
281,12/12/2017,-6.0,29.0,2.8,1983.0,-21.2,0.58,0.0,0.0
282,12/12/2017,-7.0,32.0,2.6,2000.0,-20.9,0.19,0.0,0.0
283,12/12/2017,-7.7,36.0,1.0,2000.0,-20.2,0.0,0.0,0.0
284,12/12/2017,-8.2,43.0,1.1,2000.0,-18.5,0.0,0.0,0.0
285,12/12/2017,-8.4,42.0,1.0,2000.0,-19.0,0.0,0.0,0.0
286,12/12/2017,-8.8,43.0,1.4,1999.0,-19.1,0.0,0.0,0.0
287,12/12/2017,-9.0,45.0,1.3,1999.0,-18.7,0.0,0.0,0.0
288,12/12/2017,-9.3,47.0,2.1,2000.0,-18.5,0.0,0.0,0.0
289,13/12/2017,-9.5,48.0,1.3,1996.0,-18.4,0.0,0.0,0.0
290,13/12/2017,-10.2,52.0,1.6,1997.0,-18.2,0.0,0.0,0.0
291,13/12/2017,-10.4,53.0,1.8,1949.0,-18.1,0.0,0.0,0.0
292,13/12/2017,-10.9,55.0,1.8,1913.0,-18.1,0.0,0.0,0.0
293,13/12/2017,-11.4,58.0,1.3,1907.0,-18.0,0.0,0.0,0.0
294,13/12/2017,-11.5,58.0,1.1,1923.0,-18.1,0.0,0.0,0.0
295,13/12/2017,-11.9,57.0,1.1,1974.0,-18.7,0.0,0.0,0.0
296,13/12/2017,-11.7,53.0,1.6,1998.0,-19.3,0.0,0.0,0.0
297,13/12/2017,-11.4,47.0,3.3,2000.0,-20.4,0.0,0.0,0.0
298,13/12/2017,-11.1,46.0,3.4,1981.0,-20.4,0.1,0.0,0.0
299,13/12/2017,-9.5,39.0,2.1,1875.0,-20.9,0.6,0.0,0.0
300,13/12/2017,-8.1,35.0,1.8,1806.0,-20.9,0.96,0.0,0.0
301,13/12/2017,-6.5,30.0,2.9,1945.0,-21.2,1.17,0.0,0.0
302,13/12/2017,-5.8,28.0,2.9,1887.0,-21.4,1.23,0.0,0.0
303,13/12/2017,-4.7,27.0,2.9,1883.0,-20.8,1.12,0.0,0.0
304,13/12/2017,-4.9,26.0,3.1,1887.0,-21.5,0.89,0.0,0.0
305,13/12/2017,-4.5,26.0,2.2,2000.0,-21.1,0.56,0.0,0.0
306,13/12/2017,-5.6,29.0,1.7,2000.0,-20.8,0.18,0.0,0.0
307,13/12/2017,-6.6,33.0,1.1,2000.0,-20.2,0.0,0.0,0.0
308,13/12/2017,-6.6,31.0,1.6,2000.0,-20.9,0.0,0.0,0.0
309,13/12/2017,-7.6,35.0,0.8,2000.0,-20.4,0.0,0.0,0.0
310,13/12/2017,-8.3,39.0,1.0,2000.0,-19.8,0.0,0.0,0.0
311,13/12/2017,-8.9,39.0,0.1,2000.0,-20.3,0.0,0.0,0.0
312,13/12/2017,-9.2,44.0,0.4,1978.0,-19.2,0.0,0.0,0.0
313,14/12/2017,-9.5,50.0,0.6,1953.0,-18.0,0.0,0.0,0.0
314,14/12/2017,-9.8,48.0,0.8,2000.0,-18.7,0.0,0.0,0.0
315,14/12/2017,-10.6,44.0,0.8,1903.0,-20.5,0.0,0.0,0.0
316,14/12/2017,-10.7,48.0,0.4,1651.0,-19.6,0.0,0.0,0.0
317,14/12/2017,-11.0,50.0,0.8,1718.0,-19.4,0.0,0.0,0.0
318,14/12/2017,-10.8,48.0,0.8,1648.0,-19.6,0.0,0.0,0.0
319,14/12/2017,-11.0,55.0,0.8,1541.0,-18.2,0.0,0.0,0.0
